Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1940-04-27,Israel,Lebanon,5,1,Friendly,Tel Aviv,Mandatory Palestine,False
1955-01-23,Lebanon,Bulgaria,2,3,Friendly,Beirut,Lebanon,False
1956-02-29,Lebanon,Hungary,1,4,Friendly,Beirut,Lebanon,False
1963-03-31,Lebanon,Kuwait,6,0,Arab Cup,Beirut,Lebanon,False
1963-04-04,Lebanon,Syria,2,3,Arab Cup,Beirut,Lebanon,False
1963-04-06,Lebanon,Jordan,5,0,Arab Cup,Beirut,Lebanon,False
1963-04-07,Lebanon,Tunisia,0,1,Arab Cup,Beirut,Lebanon,False
1963-06-09,Tunisia,Lebanon,2,0,Friendly,Tunis,Tunisia,False
1964-03-08,Libya,Lebanon,0,1,Friendly,Tripoli,Libya,False
1964-11-13,Jordan,Lebanon,0,0,Arab Cup,Kuwait City,Kuwait,True
1964-11-14,Libya,Lebanon,2,1,Arab Cup,Kuwait City,Kuwait,True
1964-11-16,Iraq,Lebanon,1,0,Arab Cup,Kuwait City,Kuwait,True
1964-11-17,Kuwait,Lebanon,2,3,Arab Cup,Kuwait City,Kuwait,False
1965-03-20,Cyprus,Lebanon,2,0,Friendly,Nicosia,Cyprus,False
1966-04-02,Lebanon,Bahrain,6,1,Arab Cup,Baghdad,Iraq,True
1966-04-03,Kuwait,Lebanon,1,2,Arab Cup,Baghdad,Iraq,True
1966-04-05,Jordan,Lebanon,1,2,Arab Cup,Baghdad,Iraq,True
1966-04-07,Iraq,Lebanon,0,0,Arab Cup,Baghdad,Iraq,False
1966-04-09,Lebanon,Syria,0,1,Arab Cup,Baghdad,Iraq,True
1966-04-10,Libya,Lebanon,6,1,Arab Cup,Baghdad,Iraq,True
1971-12-11,Bahrain,Lebanon,3,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-14,Kuwait,Lebanon,1,0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
1971-12-19,Lebanon,Syria,3,2,AFC Asian Cup qualification,Kuwait City,Kuwait,True
