Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1981-06-14,Liechtenstein,Malta,1,1,Korea Cup,Daejeon,South Korea,True
1981-06-16,Liechtenstein,Thailand,0,2,Korea Cup,Jeonju,South Korea,True
1981-06-22,Indonesia,Liechtenstein,2,3,Korea Cup,Seoul,South Korea,True
1982-03-09,Liechtenstein,Switzerland,0,1,Friendly,Balzers,Liechtenstein,False
1982-06-06,Liechtenstein,China PR,2,0,Friendly,Vaduz,Liechtenstein,False
1984-06-07,Liechtenstein,Austria,0,6,Friendly,Vaduz,Liechtenstein,False
1990-05-30,Liechtenstein,United States,1,4,Friendly,Eschen,Liechtenstein,False
1991-03-12,Liechtenstein,Switzerland,0,6,Friendly,Balzers,Liechtenstein,False
1993-10-26,Liechtenstein,Estonia,0,2,Friendly,Balzers,Liechtenstein,False
1994-04-20,Northern Ireland,Liechtenstein,4,1,UEFA Euro qualification,Belfast,Northern Ireland,False
1994-05-27,Switzerland,Liechtenstein,2,0,Friendly,Basel,Switzerland,False
1994-09-07,Liechtenstein,Austria,0,4,UEFA Euro qualification,Eschen,Liechtenstein,False
1994-10-12,Republic of Ireland,Liechtenstein,4,0,UEFA Euro qualification,Dublin,Republic of Ireland,False
1994-11-15,Liechtenstein,Latvia,0,1,UEFA Euro qualification,Eschen,Liechtenstein,False
1994-12-18,Portugal,Liechtenstein,8,0,UEFA Euro qualification,Lisbon,Portugal,False
1995-04-26,Austria,Liechtenstein,7,0,UEFA Euro qualification,Salzburg,Austria,False
1995-06-03,Liechtenstein,Republic of Ireland,0,0,UEFA Euro qualification,Eschen,Liechtenstein,False
1995-08-15,Liechtenstein,Portugal,0,7,UEFA Euro qualification,Eschen,Liechtenstein,False
1995-09-06,Latvia,Liechtenstein,1,0,UEFA Euro qualification,Riga,Latvia,False
1995-10-11,Liechtenstein,Northern Ireland,0,4,UEFA Euro qualification,Eschen,Liechtenstein,False
1996-04-24,North Macedonia,Liechtenstein,3,0,FIFA World Cup qualification,Skopje,North Macedonia,False
1996-06-04,Germany,Liechtenstein,9,1,Friendly,Mannheim,Germany,False
1996-08-31,Liechtenstein,Republic of Ireland,0,5,FIFA World Cup qualification,Eschen,Liechtenstein,False
1996-10-09,Lithuania,Liechtenstein,2,1,FIFA World Cup qualification,Vilnius,Lithuania,False
1996-11-09,Liechtenstein,North Macedonia,1,11,FIFA World Cup qualification,Eschen,Liechtenstein,False
1997-03-29,Romania,Liechtenstein,8,0,FIFA World Cup qualification,Bucharest,Romania,False
1997-04-30,Liechtenstein,Lithuania,0,2,FIFA World Cup qualification,Eschen,Liechtenstein,False
1997-05-21,Republic of Ireland,Liechtenstein,5,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False
1997-08-20,Liechtenstein,Iceland,0,4,FIFA World Cup qualification,Eschen,Liechtenstein,False
1997-09-06,Liechtenstein,Romania,1,8,FIFA World Cup qualification,Eschen,Liechtenstein,False
1997-10-11,Iceland,Liechtenstein,4,0,FIFA World Cup qualification,Reykjavík,Iceland,False
1998-06-02,Austria,Liechtenstein,6,0,Friendly,Vienna,Austria,False
1998-09-02,Romania,Liechtenstein,7,0,UEFA Euro qualification,Bucharest,Romania,False
1998-10-10,Liechtenstein,Slovakia,0,4,UEFA Euro qualification,Vaduz,Liechtenstein,False
1998-10-14,Liechtenstein,Azerbaijan,2,1,UEFA Euro qualification,Vaduz,Liechtenstein,False
1999-03-27,Hungary,Liechtenstein,5,0,UEFA Euro qualification,Budapest,Hungary,False
1999-03-31,Liechtenstein,Portugal,0,5,UEFA Euro qualification,Vaduz,Liechtenstein,False
1999-06-05,Azerbaijan,Liechtenstein,4,0,UEFA Euro qualification,Baku,Azerbaijan,False
1999-06-09,Portugal,Liechtenstein,8,0,UEFA Euro qualification,Coimbra,Portugal,False
1999-08-18,Liechtenstein,Bosnia and Herzegovina,0,0,Friendly,Vaduz,Liechtenstein,False
1999-09-04,Liechtenstein,Hungary,0,0,UEFA Euro qualification,Vaduz,Liechtenstein,False
1999-09-08,Slovakia,Liechtenstein,2,0,UEFA Euro qualification,Dubnica nad Váhom,Slovakia,False
1999-10-09,Liechtenstein,Romania,0,3,UEFA Euro qualification,Vaduz,Liechtenstein,False
2000-04-26,Liechtenstein,Faroe Islands,0,1,Friendly,Vaduz,Liechtenstein,False
2000-06-07,Germany,Liechtenstein,8,2,Friendly,Freiburg,Germany,False
2000-09-03,Israel,Liechtenstein,2,0,FIFA World Cup qualification,Ramat Gan,Israel,False
2000-10-07,Liechtenstein,Austria,0,1,FIFA World Cup qualification,Vaduz,Liechtenstein,False
2001-02-28,Liechtenstein,Latvia,0,2,Friendly,Vaduz,Liechtenstein,False
2001-03-24,Spain,Liechtenstein,5,0,FIFA World Cup qualification,Alicante,Spain,False
2001-03-28,Liechtenstein,Bosnia and Herzegovina,0,3,FIFA World Cup qualification,Vaduz,Liechtenstein,False
2001-04-25,Austria,Liechtenstein,2,0,FIFA World Cup qualification,Innsbruck,Austria,False
2001-06-02,Liechtenstein,Israel,0,3,FIFA World Cup qualification,Vaduz,Liechtenstein,False
2001-09-05,Liechtenstein,Spain,0,2,FIFA World Cup qualification,Vaduz,Liechtenstein,False
2001-10-07,Bosnia and Herzegovina,Liechtenstein,5,0,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,False
2002-02-13,Faroe Islands,Liechtenstein,1,0,Friendly,Pégeia,Cyprus,True
2002-03-27,Liechtenstein,Northern Ireland,0,0,Friendly,Vaduz,Liechtenstein,False
2002-04-17,Luxembourg,Liechtenstein,3,3,Friendly,Hesperange,Luxembourg,False
2002-08-21,Faroe Islands,Liechtenstein,3,1,Friendly,Tórshavn,Faroe Islands,False
2002-09-08,Liechtenstein,North Macedonia,1,1,UEFA Euro qualification,Vaduz,Liechtenstein,False
2002-10-16,Turkey,Liechtenstein,5,0,UEFA Euro qualification,Istanbul,Turkey,False
2003-03-29,Liechtenstein,England,0,2,UEFA Euro qualification,Vaduz,Liechtenstein,False
2003-04-02,Slovakia,Liechtenstein,4,0,UEFA Euro qualification,Trnava,Slovakia,False
2003-04-30,Liechtenstein,Saudi Arabia,1,0,Friendly,Vaduz,Liechtenstein,False
2003-06-07,North Macedonia,Liechtenstein,3,1,UEFA Euro qualification,Skopje,North Macedonia,False
2003-08-20,Liechtenstein,San Marino,2,2,Friendly,Vaduz,Liechtenstein,False
2003-09-06,Liechtenstein,Turkey,0,3,UEFA Euro qualification,Vaduz,Liechtenstein,False
2003-09-10,England,Liechtenstein,2,0,UEFA Euro qualification,Manchester,England,False
2003-10-11,Liechtenstein,Slovakia,0,2,UEFA Euro qualification,Vaduz,Liechtenstein,False
2004-04-28,San Marino,Liechtenstein,1,0,Friendly,Serravalle,San Marino,False
2004-06-03,Liechtenstein,Greece,0,2,Friendly,Vaduz,Liechtenstein,False
2004-06-06,Switzerland,Liechtenstein,1,0,Friendly,Zürich,Switzerland,False
2004-08-18,Liechtenstein,Estonia,1,2,FIFA World Cup qualification,Vaduz,Liechtenstein,False
2004-09-03,Netherlands,Liechtenstein,3,0,Friendly,Utrecht,Netherlands,False
2004-09-08,Slovakia,Liechtenstein,7,0,FIFA World Cup qualification,Bratislava,Slovakia,False
2004-10-09,Liechtenstein,Portugal,2,2,FIFA World Cup qualification,Vaduz,Liechtenstein,False
2004-10-13,Luxembourg,Liechtenstein,0,4,FIFA World Cup qualification,Luxembourg,Luxembourg,False
2004-11-17,Liechtenstein,Latvia,1,3,FIFA World Cup qualification,Vaduz,Liechtenstein,False
2005-03-26,Liechtenstein,Russia,1,2,FIFA World Cup qualification,Vaduz,Liechtenstein,False
2005-06-04,Estonia,Liechtenstein,2,0,FIFA World Cup qualification,Tallinn,Estonia,False
2005-06-08,Latvia,Liechtenstein,1,0,FIFA World Cup qualification,Riga,Latvia,False
2005-08-17,Liechtenstein,Slovakia,0,0,FIFA World Cup qualification,Vaduz,Liechtenstein,False
2005-09-03,Russia,Liechtenstein,2,0,FIFA World Cup qualification,Moscow,Russia,False
2005-09-07,Liechtenstein,Luxembourg,3,0,FIFA World Cup qualification,Vaduz,Liechtenstein,False
2005-10-08,Portugal,Liechtenstein,2,1,FIFA World Cup qualification,Aveiro,Portugal,False
2005-11-12,Liechtenstein,North Macedonia,1,2,Friendly,Vaduz,Liechtenstein,False
2006-06-02,Liechtenstein,Togo,0,1,Friendly,Vaduz,Liechtenstein,False
2006-06-07,Australia,Liechtenstein,3,1,Friendly,Ulm,Germany,True
2006-08-16,Liechtenstein,Switzerland,0,3,Friendly,Vaduz,Liechtenstein,False
2006-09-02,Spain,Liechtenstein,4,0,UEFA Euro qualification,Badajoz,Spain,False
2006-09-06,Sweden,Liechtenstein,3,1,UEFA Euro qualification,Gothenburg,Sweden,False
2006-10-06,Liechtenstein,Austria,1,2,Friendly,Vaduz,Liechtenstein,False
2006-10-11,Liechtenstein,Denmark,0,4,UEFA Euro qualification,Vaduz,Liechtenstein,False
