Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1952-09-21,Tahiti,New Zealand,2,2,Friendly,Papeete,Tahiti,False
1952-09-28,Tahiti,New Zealand,3,5,Friendly,Pirae,Tahiti,False
1953-09-11,Vanuatu,Tahiti,2,4,Friendly,Port Vila,New Hebrides,False
1953-09-14,Vanuatu,Tahiti,2,4,Friendly,Port Vila,New Hebrides,False
1953-09-20,New Caledonia,Tahiti,5,0,Friendly,Nouméa,New Caledonia,False
1953-09-23,New Caledonia,Tahiti,4,1,Friendly,Nouméa,New Caledonia,False
1953-09-26,New Caledonia,Tahiti,4,1,Friendly,Nouméa,New Caledonia,False
1955-07-12,Tahiti,New Caledonia,1,1,Friendly,Papeete,Tahiti,False
1957-09-09,Tahiti,Vanuatu,2,1,Friendly,Papeete,Tahiti,False
1957-09-15,New Caledonia,Tahiti,2,4,Friendly,Nouméa,New Caledonia,False
1957-09-18,New Caledonia,Tahiti,2,1,Friendly,Nouméa,New Caledonia,False
1957-09-27,New Caledonia,Tahiti,2,0,Friendly,Nouméa,New Caledonia,False
1959-07-21,Tahiti,New Caledonia,2,4,Friendly,Papeete,Tahiti,False
1959-07-22,Tahiti,New Caledonia,3,1,Friendly,Papeete,Tahiti,False
1960-09-05,Tahiti,New Zealand,1,5,Friendly,Pirae,Tahiti,False
1960-09-12,Tahiti,New Zealand,1,2,Friendly,Pirae,Tahiti,False
1961-09-05,New Caledonia,Tahiti,2,2,Friendly,Nouméa,New Caledonia,False
1961-09-08,New Caledonia,Tahiti,3,0,Friendly,Nouméa,New Caledonia,False
1961-09-22,New Caledonia,Tahiti,2,1,Friendly,Nouméa,New Caledonia,False
1963-09-01,New Caledonia,Tahiti,2,1,South Pacific Games,Suva,Fiji,True
1963-09-06,Solomon Islands,Tahiti,0,18,South Pacific Games,Suva,Fiji,True
1964-09-10,Tahiti,New Caledonia,0,2,Friendly,Papeete,Tahiti,False
1964-09-27,Tahiti,New Caledonia,4,1,Friendly,Papeete,Tahiti,False
1965-09-11,New Caledonia,Tahiti,4,1,Friendly,Nouméa,New Caledonia,False
1965-09-13,New Caledonia,Tahiti,2,1,Friendly,Nouméa,New Caledonia,False
1966-12-09,Papua New Guinea,Tahiti,3,4,South Pacific Games,Nouméa,New Caledonia,True
1966-12-11,Tahiti,Wallis Islands and Futuna,5,0,South Pacific Games,Nouméa,New Caledonia,True
1966-12-15,Tahiti,Vanuatu,3,0,South Pacific Games,Nouméa,New Caledonia,True
1966-12-17,New Caledonia,Tahiti,0,2,South Pacific Games,Nouméa,New Caledonia,False
1968-12-09,New Caledonia,Tahiti,0,1,Friendly,Nouméa,New Caledonia,False
1968-12-15,New Caledonia,Tahiti,1,1,Friendly,Nouméa,New Caledonia,False
1969-08-14,Tahiti,Vanuatu,3,3,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-15,Papua New Guinea,Tahiti,1,3,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-16,Fiji,Tahiti,0,2,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-18,Solomon Islands,Tahiti,0,7,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-22,New Caledonia,Tahiti,2,1,South Pacific Games,Port Moresby,Papua New Guinea,True
1970-07-11,Tahiti,New Caledonia,3,1,Friendly,Papeete,Tahiti,False
1970-07-18,Tahiti,New Caledonia,0,2,Friendly,Papeete,Tahiti,False
1971-08-30,Tahiti,Fiji,5,2,Friendly,Papeete,Tahiti,False
1971-09-09,Tahiti,Papua New Guinea,2,2,South Pacific Games,Papeete,Tahiti,False
1971-09-13,Tahiti,Cook Islands,30,0,South Pacific Games,Papeete,Tahiti,False
1971-09-16,Tahiti,Vanuatu,1,2,South Pacific Games,Papeete,Tahiti,False
1971-09-18,Tahiti,Papua New Guinea,8,1,South Pacific Games,Papeete,Tahiti,False
1973-02-14,Chile,Tahiti,10,1,Friendly,Santiago,Chile,False
1973-02-17,New Caledonia,Tahiti,1,2,Oceania Nations Cup,Auckland,New Zealand,True
1973-02-18,New Zealand,Tahiti,1,1,Oceania Nations Cup,Auckland,New Zealand,False
1973-02-20,Vanuatu,Tahiti,0,1,Oceania Nations Cup,Auckland,New Zealand,True
1973-02-23,Fiji,Tahiti,0,4,Oceania Nations Cup,Auckland,New Zealand,True
1973-02-24,New Zealand,Tahiti,2,0,Oceania Nations Cup,Auckland,New Zealand,False
1974-02-17,Tahiti,New Caledonia,2,1,Friendly,Papeete,Tahiti,False
1974-02-17,Tahiti,New Caledonia,1,2,Friendly,Papeete,Tahiti,False
1974-02-20,Tahiti,New Caledonia,2,2,Friendly,Papeete,Tahiti,False
1975-08-02,New Caledonia,Tahiti,3,0,South Pacific Games,Tamuning,Guam,True
1975-08-04,Papua New Guinea,Tahiti,2,4,South Pacific Games,Tamuning,Guam,True
1975-08-05,Vanuatu,Tahiti,0,3,South Pacific Games,Tamuning,Guam,True
1975-08-07,Fiji,Tahiti,0,3,South Pacific Games,Tamuning,Guam,True
1975-08-09,New Caledonia,Tahiti,1,2,South Pacific Games,Tamuning,Guam,True
1978-08-07,Vanuatu,Tahiti,2,4,Friendly,Port Vila,New Hebrides,False
1978-08-13,New Caledonia,Tahiti,2,0,Friendly,Nouméa,New Caledonia,False
1978-08-20,New Caledonia,Tahiti,3,4,Friendly,Nouméa,New Caledonia,False
1979-08-29,Tahiti,Tonga,8,0,South Pacific Games,Suva,Fiji,True
1979-08-30,Tahiti,Tuvalu,18,0,South Pacific Games,Suva,Fiji,True
1979-09-03,Tahiti,Vanuatu,1,0,South Pacific Games,Suva,Fiji,True
1979-09-04,New Caledonia,Tahiti,2,3,South Pacific Games,Suva,Fiji,True
1979-09-07,Fiji,Tahiti,0,3,South Pacific Games,Suva,Fiji,False
1980-02-25,New Zealand,Tahiti,1,3,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-02-27,Solomon Islands,Tahiti,1,12,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-02-29,Fiji,Tahiti,3,6,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-03-01,Australia,Tahiti,4,2,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-03-20,Tahiti,Vanuatu,1,0,Friendly,Papeete,Tahiti,False
1980-07-10,Fiji,Tahiti,1,1,Friendly,Suva,Fiji,False
1980-09-02,Tahiti,Mexico,0,1,Friendly,Pirae,Tahiti,False
1981-03-02,Tahiti,Fiji,1,0,Friendly,Papeete,Tahiti,False
1981-03-10,Tahiti,Fiji,2,1,Friendly,Papeete,Tahiti,False
1981-07-07,Tahiti,New Caledonia,1,0,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-08,Tahiti,Samoa,13,0,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-09,Tahiti,Vanuatu,1,1,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-11,Tahiti,Papua New Guinea,5,0,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-13,Solomon Islands,Tahiti,1,4,South Pacific Mini Games,Honiara,Solomon Islands,False
1981-07-14,Tahiti,Fiji,6,0,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-15,Tahiti,New Caledonia,1,0,South Pacific Mini Games,Honiara,Solomon Islands,True
1983-08-07,Vanuatu,Tahiti,1,5,Friendly,Port Vila,Vanuatu,False
1983-08-11,Vanuatu,Tahiti,1,6,Friendly,Port Vila,Vanuatu,False
1983-08-14,Vanuatu,Tahiti,1,1,Friendly,Port Vila,Vanuatu,False
1983-08-20,Niue,Tahiti,0,14,South Pacific Games,Apia,Western Samoa,True
1983-08-24,Papua New Guinea,Tahiti,1,2,South Pacific Games,Apia,Western Samoa,True
1983-09-14,Papua New Guinea,Tahiti,1,6,South Pacific Games,Apia,Western Samoa,True
1983-09-14,Samoa,Tahiti,0,2,South Pacific Games,Apia,Western Samoa,False
1983-09-15,Fiji,Tahiti,0,1,South Pacific Games,Apia,Western Samoa,True
1985-07-04,Fiji,Tahiti,0,1,Friendly,Suva,Fiji,False
1985-07-11,Fiji,Tahiti,0,1,Friendly,Suva,Fiji,False
1985-07-14,Fiji,Tahiti,1,2,Friendly,Suva,Fiji,False
1987-05-12,New Caledonia,Tahiti,0,0,Friendly,Nouméa,New Caledonia,False
1987-12-09,Papua New Guinea,Tahiti,0,0,South Pacific Games,Nouméa,New Caledonia,True
1987-12-10,Tahiti,Wallis Islands and Futuna,4,0,South Pacific Games,Nouméa,New Caledonia,True
1987-12-12,New Caledonia,Tahiti,2,3,South Pacific Games,Nouméa,New Caledonia,False
1987-12-15,Tahiti,Vanuatu,2,1,South Pacific Games,Nouméa,New Caledonia,True
1987-12-19,New Caledonia,Tahiti,1,0,South Pacific Games,Nouméa,New Caledonia,False
1991-09-09,Guam,Tahiti,0,15,South Pacific Games,Lae,Papua New Guinea,True
1991-09-11,New Caledonia,Tahiti,2,2,South Pacific Games,Lae,Papua New Guinea,True
1991-09-14,Fiji,Tahiti,3,0,South Pacific Games,Lae,Papua New Guinea,True
1991-09-17,Wallis Islands and Futuna,Tahiti,0,5,South Pacific Games,Lae,Papua New Guinea,True
1992-07-11,Solomon Islands,Tahiti,1,1,FIFA World Cup qualification,Honiara,Solomon Islands,False
