Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1960-04-14,Central African Republic,Mali,3,4,Friendly,Antananarivo,Madagascar,True
1960-04-14,Mali,Central African Republic,4,3,African Friendship Games,Tananarive,Madagascar,True
1960-04-15,Cameroon,Mali,3,2,Friendly,Antananarivo,Madagascar,True
1960-04-15,Cameroon,Mali,3,2,African Friendship Games,Tananarive,Madagascar,True
1960-06-01,Mali,Nigeria,3,2,Friendly,Bamako,Mali,False
1960-07-10,Mali,Sierra Leone,1,0,Friendly,Bamako,Mali,False
1960-10-02,Ghana,Mali,5,1,Friendly,Ibadan,Nigeria,True
1960-10-05,Nigeria,Mali,2,3,Friendly,Lagos,Nigeria,False
1961-03-05,Ghana,Mali,3,0,Friendly,Accra,Ghana,False
1962-02-04,Mali,Ivory Coast,4,0,Friendly,Bamako,Mali,False
1962-02-06,Mali,Ivory Coast,0,2,Friendly,Bamako,Mali,False
1962-02-17,Mali,Ghana,0,1,Friendly,Bamako,Mali,False
1962-03-17,Ghana,Mali,0,0,Friendly,Accra,Ghana,False
1962-12-09,Mali,German DR,1,2,Friendly,Bamako,Mali,False
1963-02-01,Mali,Burkina Faso,1,0,Friendly,Bamako,Mali,False
1963-02-24,Mali,Senegal,3,1,Friendly,Kumasi,Ghana,True
1963-03-03,Ghana,Mali,4,0,Friendly,Accra,Ghana,False
1963-11-12,China PR,Mali,3,1,Friendly,Jakarta,Indonesia,True
1963-11-14,Indonesia,Mali,3,2,Friendly,Jakarta,Indonesia,False
1964-03-15,Ivory Coast,Mali,1,1,Friendly,Abidjan,Ivory Coast,False
1964-08-15,Congo,Mali,1,0,Friendly,Brazzaville,Congo,False
1965-04-18,Mali,Senegal,0,2,African Cup of Nations qualification,Bamako,Mali,False
1965-05-03,Mali,Congo,1,1,Friendly,Bamako,Mali,False
1965-05-05,Senegal,Mali,3,1,African Cup of Nations qualification,Dakar,Senegal,False
1965-05-23,Mali,Guinea,2,1,African Cup of Nations qualification,Bamako,Mali,False
1965-06-06,Guinea,Mali,2,1,African Cup of Nations qualification,Conakry,Guinea,False
1965-07-19,Mali,Togo,1,2,All-African Games,Brazzaville,Congo,True
1965-07-20,Mali,Uganda,5,1,All-African Games,Brazzaville,Congo,True
1965-07-21,Congo,Mali,1,2,All-African Games,Brazzaville,Congo,False
1965-07-23,Mali,Algeria,2,1,All-African Games,Brazzaville,Congo,True
1965-07-25,Congo,Mali,0,0,All-African Games,Brazzaville,Congo,False
1965-11-25,Ivory Coast,Mali,1,3,Friendly,Brazzaville,Congo,True
1966-08-28,China PR,Mali,4,0,Friendly,Beijing,China PR,False
1966-08-30,Guinea,Mali,5,0,Friendly,Conakry,Guinea,False
1966-11-20,Mali,Guinea,1,0,Friendly,Bamako,Mali,False
1967-02-03,Mali,Congo,1,0,Friendly,Bamako,Mali,False
1967-02-05,Mali,Algeria,0,3,African Cup of Nations qualification,Bamako,Mali,False
1967-03-12,Algeria,Mali,1,0,African Cup of Nations qualification,Oran,Algeria,False
1967-08-10,DR Congo,Mali,2,2,Friendly,Kinshasa,Congo-Kinshasa,False
1967-09-27,Mali,Burkina Faso,4,0,African Cup of Nations qualification,Bamako,Mali,False
1967-11-15,Burkina Faso,Mali,0,1,African Cup of Nations qualification,Ouagadougou,Upper Volta,False
1967-12-03,Mali,Congo,1,1,Friendly,Bamako,Mali,False
1969-10-12,Mali,Ivory Coast,0,0,African Cup of Nations qualification,Bamako,Mali,False
1969-10-26,Ivory Coast,Mali,4,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1970-03-26,Guinea,Mali,2,1,Friendly,Conakry,Guinea,False
1970-12-12,Niger,Mali,0,1,African Cup of Nations qualification,Niamey,Niger,False
1970-12-27,Mali,Niger,3,1,African Cup of Nations qualification,Bamako,Mali,False
1971-10-13,Guinea,Mali,0,0,African Cup of Nations qualification,Conakry,Guinea,False
1971-10-27,Mali,Guinea,3,1,African Cup of Nations qualification,Bamako,Mali,False
1971-12-19,Senegal,Mali,4,1,Friendly,Dakar,Senegal,False
1972-02-24,Mali,Togo,3,3,African Cup of Nations,Yaoundé,Cameroon,True
1972-02-26,Kenya,Mali,1,1,African Cup of Nations,Yaoundé,Cameroon,True
1972-02-28,Cameroon,Mali,1,1,African Cup of Nations,Yaoundé,Cameroon,False
1972-03-02,Mali,DR Congo,4,3,African Cup of Nations,Douala,Cameroon,True
1972-03-05,Congo,Mali,3,2,African Cup of Nations,Yaoundé,Cameroon,True
1972-11-22,Mali,Nigeria,2,1,Friendly,Bamako,Mali,False
1972-12-04,Nigeria,Mali,3,0,Friendly,Lagos,Nigeria,False
1973-03-31,Sierra Leone,Mali,1,1,African Cup of Nations qualification,Freetown,Sierra Leone,False
1973-04-28,Mali,Sierra Leone,4,2,African Cup of Nations qualification,Bamako,Mali,False
1973-05-27,Mali,Guinea,2,2,African Cup of Nations qualification,Bamako,Mali,False
1973-06-14,Guinea,Mali,1,1,African Cup of Nations qualification,Conakry,Guinea,False
1974-01-06,Mali,Tunisia,1,0,Friendly,Bamako,Mali,False
1974-02-17,Congo,Mali,2,2,Friendly,Brazzaville,Congo,False
1974-06-26,Mali,Congo,1,1,Friendly,Bamako,Mali,False
1975-01-19,Mali,Guinea,0,2,Friendly,Bamako,Mali,False
1975-02-02,Mali,Cameroon,1,2,Friendly,Bamako,Mali,False
1975-02-16,Mali,Senegal,2,1,Friendly,Bamako,Mali,False
1975-03-30,Ghana,Mali,4,0,African Cup of Nations qualification,Accra,Ghana,False
1975-04-13,Mali,Ghana,3,1,African Cup of Nations qualification,Bamako,Mali,False
1975-09-05,Mali,Nigeria,4,1,Friendly,Abidjan,Ivory Coast,True
1976-01-15,Gambia,Mali,0,3,Friendly,Banjul,Gambia,False
1976-01-16,Guinea-Bissau,Mali,1,1,Friendly,Banjul,Gambia,True
1976-01-18,Guinea,Mali,0,1,Friendly,Banjul,Gambia,True
1976-11-24,Mali,Burkina Faso,2,1,Friendly,Bamako,Mali,False
1977-04-08,Guinea-Bissau,Mali,1,3,Friendly,Bissau,Guinea-Bissau,False
1978-07-14,Nigeria,Mali,3,1,All-African Games,Algiers,Algeria,True
1978-07-17,Ghana,Mali,1,1,All-African Games,Algiers,Algeria,True
1978-07-21,Cameroon,Mali,1,1,All-African Games,Algiers,Algeria,True
1978-11-11,Burkina Faso,Mali,3,1,Friendly,Ouagadougou,Upper Volta,False
1979-01-08,Guinea,Mali,0,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
1979-01-10,Gambia,Mali,0,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
1979-01-12,Mali,Mauritania,4,2,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
1979-01-13,Guinea-Bissau,Mali,1,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,False
1979-01-14,Mali,Senegal,0,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,True
1979-03-10,Senegal,Mali,2,1,Friendly,Dakar,Senegal,False
1979-03-25,Mali,Senegal,2,1,Friendly,Bamako,Mali,False
1980-02-10,Mali,Senegal,1,0,Amílcar Cabral Cup,Banjul,Gambia,True
1980-02-12,Mali,Mauritania,0,1,Amílcar Cabral Cup,Banjul,Gambia,True
1980-02-17,Guinea-Bissau,Mali,2,4,Amílcar Cabral Cup,Banjul,Gambia,True
1980-09-28,Mali,Mauritania,2,0,African Cup of Nations qualification,Bamako,Mali,False
1980-10-12,Mauritania,Mali,2,1,African Cup of Nations qualification,Nouakchott,Mauritania,False
1980-10-25,Liberia,Mali,1,1,Friendly,Monrovia,Liberia,False
1980-12-07,Mali,Togo,1,2,Friendly,Bamako,Mali,False
1980-12-09,Mali,Togo,4,0,Friendly,Bamako,Mali,False
1981-02-02,Mali,Mauritania,2,0,Amílcar Cabral Cup,Bamako,Mali,False
1981-02-04,Mali,Guinea,1,1,Amílcar Cabral Cup,Bamako,Mali,False
1981-02-06,Mali,Gambia,4,1,Amílcar Cabral Cup,Bamako,Mali,False
1981-02-09,Mali,Cape Verde,2,0,Amílcar Cabral Cup,Bamako,Mali,False
1981-02-13,Mali,Guinea,0,0,Amílcar Cabral Cup,Bamako,Mali,False
1981-04-10,Algeria,Mali,5,1,African Cup of Nations qualification,Oran,Algeria,False
1981-04-19,Mali,Algeria,3,0,African Cup of Nations qualification,Bamako,Mali,False
1982-01-24,Benin,Mali,2,3,Friendly,Cotonou,Benin,False
1982-02-06,Mali,Niger,2,2,Friendly,Bamako,Mali,False
1982-02-11,Mali,Mauritania,4,0,Amílcar Cabral Cup,Praia,Cape Verde,True
1982-02-13,Cape Verde,Mali,1,0,Amílcar Cabral Cup,Praia,Cape Verde,False
1982-02-15,Gambia,Mali,1,1,Amílcar Cabral Cup,Praia,Cape Verde,True
1982-02-17,Mali,Senegal,0,1,Amílcar Cabral Cup,Praia,Cape Verde,True
1982-02-19,Cape Verde,Mali,1,2,Amílcar Cabral Cup,Praia,Cape Verde,False
1982-11-14,Mali,Gambia,3,1,African Cup of Nations qualification,Bamako,Mali,False
1982-11-28,Gambia,Mali,1,0,African Cup of Nations qualification,Banjul,Gambia,False
1983-01-09,Ivory Coast,Mali,0,1,Friendly,Abidjan,Ivory Coast,False
1983-02-13,Guinea,Mali,1,1,Friendly,Conakry,Guinea,False
1983-02-27,Mali,Guinea,1,1,Friendly,Bamako,Mali,False
1983-04-10,Morocco,Mali,4,0,African Cup of Nations qualification,Rabat,Morocco,False
1983-04-17,Mali,Ivory Coast,1,2,Friendly,Bamako,Mali,False
1983-04-24,Mali,Morocco,2,0,African Cup of Nations qualification,Bamako,Mali,False
1983-07-03,Gambia,Mali,1,1,Friendly,Banjul,Gambia,False
1983-07-22,Cape Verde,Mali,1,0,Amílcar Cabral Cup,Nouakchott,Mauritania,True
1983-07-24,Mauritania,Mali,0,2,Amílcar Cabral Cup,Nouakchott,Mauritania,False
1983-07-27,Mali,Senegal,1,2,Amílcar Cabral Cup,Nouakchott,Mauritania,True
1983-07-28,Mauritania,Mali,0,2,Amílcar Cabral Cup,Nouakchott,Mauritania,False
1983-10-08,Sierra Leone,Mali,1,0,Friendly,Freetown,Sierra Leone,False
1983-11-13,Niger,Mali,1,1,Friendly,Niamey,Niger,False
1983-11-14,Niger,Mali,1,1,Friendly,Niamey,Niger,False
1983-12-15,Ivory Coast,Mali,1,1,Friendly,Abidjan,Ivory Coast,False
1983-12-18,Mali,Nigeria,0,0,Friendly,Abidjan,Ivory Coast,True
1984-01-29,Ivory Coast,Mali,4,1,Friendly,Abidjan,Ivory Coast,False
1984-01-31,Liberia,Mali,2,2,Friendly,Abidjan,Ivory Coast,True
1984-02-02,Mali,Senegal,1,1,Friendly,Abidjan,Ivory Coast,True
1984-02-05,Liberia,Mali,0,1,Friendly,Abidjan,Ivory Coast,True
1984-02-09,Mali,Mauritania,1,0,Amílcar Cabral Cup,Freetown,Sierra Leone,True
1984-02-11,Mali,Senegal,1,0,Amílcar Cabral Cup,Freetown,Sierra Leone,True
1984-02-13,Guinea-Bissau,Mali,1,0,Amílcar Cabral Cup,Freetown,Sierra Leone,True
1984-02-16,Sierra Leone,Mali,0,0,Amílcar Cabral Cup,Freetown,Sierra Leone,False
1984-02-18,Gambia,Mali,0,2,Amílcar Cabral Cup,Freetown,Sierra Leone,True
1984-11-11,Burkina Faso,Mali,1,0,Friendly,Ouagadougou,Burkina Faso,False
1984-11-18,Mali,Benin,1,0,African Cup of Nations qualification,Bamako,Mali,False
1984-12-02,Benin,Mali,2,2,African Cup of Nations qualification,Cotonou,Benin,False
1985-02-12,Mali,Mauritania,3,0,Amílcar Cabral Cup,Bakau,Gambia,True
1985-02-14,Guinea,Mali,1,3,Amílcar Cabral Cup,Bakau,Gambia,True
1985-02-16,Mali,Senegal,2,2,Amílcar Cabral Cup,Bakau,Gambia,True
1985-02-19,Gambia,Mali,1,0,Amílcar Cabral Cup,Bakau,Gambia,False
1985-02-21,Cape Verde,Mali,0,1,Amílcar Cabral Cup,Bakau,Gambia,True
1985-03-31,Ivory Coast,Mali,6,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1985-04-07,Mali,Togo,4,0,Friendly,Bamako,Mali,False
