Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1996-11-13,Andorra,Estonia,1,6,Friendly,Sant Julià de Lòria,Andorra,False
1997-06-22,Estonia,Andorra,4,1,Friendly,Kuressaare,Estonia,False
1997-06-25,Latvia,Andorra,4,1,Friendly,Riga,Latvia,False
1998-06-03,Andorra,Brazil,0,3,Friendly,Saint-Ouen,France,True
1998-06-22,Estonia,Andorra,2,1,Friendly,Kuressaare,Estonia,False
1998-06-24,Andorra,Azerbaijan,0,0,Friendly,Viljandi,Estonia,True
1998-06-26,Latvia,Andorra,2,0,Friendly,Pärnu,Estonia,True
1998-06-29,Lithuania,Andorra,4,0,Friendly,Karksi-Nuia,Estonia,True
1998-09-05,Armenia,Andorra,3,1,UEFA Euro qualification,Yerevan,Armenia,False
1998-10-10,Andorra,Ukraine,0,2,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
1998-10-14,France,Andorra,2,0,UEFA Euro qualification,Saint-Denis,France,False
1999-03-27,Andorra,Iceland,0,2,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
1999-03-31,Russia,Andorra,6,1,UEFA Euro qualification,Moscow,Russia,False
1999-06-05,Ukraine,Andorra,4,0,UEFA Euro qualification,Kyiv,Ukraine,False
1999-06-09,Andorra,France,0,1,UEFA Euro qualification,Barcelona,Spain,True
1999-08-18,Portugal,Andorra,4,0,Friendly,Oeiras,Portugal,False
1999-09-04,Iceland,Andorra,3,0,UEFA Euro qualification,Reykjavík,Iceland,False
1999-09-08,Andorra,Russia,1,2,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
1999-10-09,Andorra,Armenia,0,3,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2000-02-06,Albania,Andorra,3,0,Malta International Tournament,Attard,Malta,True
2000-02-08,Malta,Andorra,1,1,Malta International Tournament,Attard,Malta,False
2000-02-10,Andorra,Azerbaijan,0,0,Malta International Tournament,Attard,Malta,True
2000-04-26,Andorra,Belarus,2,0,Friendly,Sant Julià de Lòria,Andorra,False
2000-08-16,Estonia,Andorra,1,0,FIFA World Cup qualification,Tallinn,Estonia,False
2000-09-02,Andorra,Cyprus,2,3,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,False
2000-10-07,Andorra,Estonia,1,2,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,False
2000-11-15,Cyprus,Andorra,5,0,FIFA World Cup qualification,Limassol,Cyprus,False
2001-02-28,Portugal,Andorra,3,0,FIFA World Cup qualification,Funchal,Portugal,False
2001-03-24,Andorra,Netherlands,0,5,FIFA World Cup qualification,Barcelona,Spain,True
2001-03-28,Andorra,Republic of Ireland,0,3,FIFA World Cup qualification,Barcelona,Spain,True
2001-04-25,Republic of Ireland,Andorra,3,1,FIFA World Cup qualification,Dublin,Republic of Ireland,False
2001-09-01,Andorra,Portugal,1,7,FIFA World Cup qualification,Lleida,Spain,True
2001-10-06,Netherlands,Andorra,4,0,FIFA World Cup qualification,Arnhem,Netherlands,False
2002-03-27,Malta,Andorra,1,1,Friendly,Attard,Malta,False
2002-04-17,Andorra,Albania,2,0,Friendly,Sant Julià de Lòria,Andorra,False
2002-06-07,Andorra,Armenia,0,2,Friendly,Sant Julià de Lòria,Andorra,False
2002-08-21,Iceland,Andorra,3,0,Friendly,Reykjavík,Iceland,False
2002-10-12,Andorra,Belgium,0,1,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2002-10-16,Bulgaria,Andorra,2,1,UEFA Euro qualification,Sofia,Bulgaria,False
2003-04-02,Croatia,Andorra,2,0,UEFA Euro qualification,Varaždin,Croatia,False
2003-04-30,Andorra,Estonia,0,2,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2003-06-07,Estonia,Andorra,2,0,UEFA Euro qualification,Tallinn,Estonia,False
2003-06-11,Belgium,Andorra,3,0,UEFA Euro qualification,Ghent,Belgium,False
2003-06-13,Andorra,Gabon,0,2,Friendly,Sant Julià de Lòria,Andorra,False
2003-09-06,Andorra,Croatia,0,3,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2003-09-10,Andorra,Bulgaria,0,3,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2004-04-14,Andorra,China PR,0,0,Friendly,Peralada,Spain,True
2004-05-28,France,Andorra,4,0,Friendly,Montpellier,France,False
2004-06-05,Spain,Andorra,4,0,Friendly,Getafe,Spain,False
2004-09-04,Finland,Andorra,3,0,FIFA World Cup qualification,Tampere,Finland,False
2004-09-08,Andorra,Romania,1,5,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,False
2004-10-13,Andorra,North Macedonia,1,0,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,False
2004-11-17,Andorra,Netherlands,0,3,FIFA World Cup qualification,Barcelona,Spain,True
2005-02-09,North Macedonia,Andorra,0,0,FIFA World Cup qualification,Skopje,North Macedonia,False
2005-03-26,Armenia,Andorra,2,1,FIFA World Cup qualification,Yerevan,Armenia,False
2005-03-30,Andorra,Czech Republic,0,4,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,False
2005-06-04,Czech Republic,Andorra,8,1,FIFA World Cup qualification,Liberec,Czech Republic,False
2005-08-17,Romania,Andorra,2,0,FIFA World Cup qualification,Constanţa,Romania,False
2005-09-03,Andorra,Finland,0,0,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,False
2005-09-07,Netherlands,Andorra,4,0,FIFA World Cup qualification,Eindhoven,Netherlands,False
2005-10-12,Andorra,Armenia,0,3,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,False
2006-08-16,Belarus,Andorra,3,0,Friendly,Minsk,Belarus,False
2006-09-02,England,Andorra,5,0,UEFA Euro qualification,Manchester,England,False
2006-09-06,Israel,Andorra,4,1,UEFA Euro qualification,Nijmegen,Netherlands,True
2006-10-07,Croatia,Andorra,7,0,UEFA Euro qualification,Zagreb,Croatia,False
2006-10-11,Andorra,North Macedonia,0,3,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2007-02-07,Andorra,Armenia,0,0,Friendly,Sant Julià de Lòria,Andorra,False
2007-03-28,Andorra,England,0,3,UEFA Euro qualification,Barcelona,Spain,True
2007-06-02,Russia,Andorra,4,0,UEFA Euro qualification,Saint Petersburg,Russia,False
2007-06-06,Andorra,Israel,0,2,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2007-08-22,Estonia,Andorra,2,1,UEFA Euro qualification,Tallinn,Estonia,False
2007-09-12,Andorra,Croatia,0,6,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2007-10-17,North Macedonia,Andorra,3,0,UEFA Euro qualification,Skopje,North Macedonia,False
2007-11-17,Andorra,Estonia,0,2,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2007-11-21,Andorra,Russia,0,1,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2008-03-26,Andorra,Latvia,0,3,Friendly,Sant Julià de Lòria,Andorra,False
2008-06-04,Andorra,Azerbaijan,1,2,Friendly,Sant Julià de Lòria,Andorra,False
2008-08-20,Kazakhstan,Andorra,3,0,FIFA World Cup qualification,Almaty,Kazakhstan,False
2008-09-06,Andorra,England,0,2,FIFA World Cup qualification,Barcelona,Spain,True
2008-09-10,Andorra,Belarus,1,3,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,False
2008-10-15,Croatia,Andorra,4,0,FIFA World Cup qualification,Zagreb,Croatia,False
2009-02-11,Andorra,Lithuania,1,3,Friendly,Albufeira,Portugal,True
2009-04-01,Andorra,Croatia,0,2,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,False
2009-06-06,Belarus,Andorra,5,1,FIFA World Cup qualification,Hrodna,Belarus,False
2009-06-10,England,Andorra,6,0,FIFA World Cup qualification,London,England,False
2009-09-05,Ukraine,Andorra,5,0,FIFA World Cup qualification,Kyiv,Ukraine,False
2009-09-09,Andorra,Kazakhstan,1,3,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,False
2009-10-14,Andorra,Ukraine,0,6,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,False
2010-05-29,Iceland,Andorra,4,0,Friendly,Reykjavík,Iceland,False
2010-06-02,Albania,Andorra,1,0,Friendly,Tirana,Albania,False
2010-08-11,Cyprus,Andorra,1,0,Friendly,Larnaca,Cyprus,False
2010-09-03,Andorra,Russia,0,2,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2010-09-07,Republic of Ireland,Andorra,3,1,UEFA Euro qualification,Dublin,Republic of Ireland,False
2010-10-08,Andorra,North Macedonia,0,2,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2010-10-12,Armenia,Andorra,4,0,UEFA Euro qualification,Yerevan,Armenia,False
2011-02-09,Andorra,Moldova,1,2,Friendly,Lagos,Portugal,True
2011-03-26,Andorra,Slovakia,0,1,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2011-06-04,Slovakia,Andorra,1,0,UEFA Euro qualification,Bratislava,Slovakia,False
