Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1949-11-20,Turkey,Syria,7,0,FIFA World Cup qualification,Ankara,Turkey,False
1949-11-25,Greece,Syria,8,0,Friendly,Athens,Greece,False
1957-03-08,Sudan,Syria,1,0,FIFA World Cup qualification,Khartoum,Sudan,False
1957-05-24,Syria,Sudan,1,1,FIFA World Cup qualification,Damascus,Syria,False
1963-03-31,Syria,Jordan,4,0,Arab Cup,Beirut,Lebanon,True
1963-04-02,Syria,Tunisia,0,1,Arab Cup,Beirut,Lebanon,True
1963-04-04,Lebanon,Syria,2,3,Arab Cup,Beirut,Lebanon,False
1963-04-07,Kuwait,Syria,0,4,Arab Cup,Beirut,Lebanon,True
1966-04-02,Syria,Yemen,4,1,Arab Cup,Baghdad,Iraq,True
1966-04-04,Libya,Syria,0,0,Arab Cup,Baghdad,Iraq,True
1966-04-06,Palestine,Syria,1,3,Arab Cup,Baghdad,Iraq,True
1966-04-09,Lebanon,Syria,0,1,Arab Cup,Baghdad,Iraq,True
1966-04-10,Iraq,Syria,2,1,Arab Cup,Baghdad,Iraq,False
1966-07-23,China PR,Syria,6,0,Friendly,Beijing,China PR,False
1971-07-09,Libya,Syria,2,1,Friendly,Benghazi,Libya,False
1971-07-11,Egypt,Syria,1,0,Friendly,Benghazi,Libya,True
1971-12-11,Syria,Jordan,0,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-17,Kuwait,Syria,2,2,AFC Asian Cup qualification,Kuwait City,Kuwait,False
1971-12-19,Lebanon,Syria,3,2,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1972-01-01,Syria,Yemen DPR,1,0,Palestine Cup,Baghdad,Iraq,True
1972-01-04,Palestine,Syria,1,3,Palestine Cup,Baghdad,Iraq,True
1972-01-06,Syria,Qatar,3,2,Palestine Cup,Baghdad,Iraq,True
1972-01-08,Algeria,Syria,0,1,Palestine Cup,Baghdad,Iraq,True
1972-01-12,Egypt,Syria,4,2,Palestine Cup,Baghdad,Iraq,True
1972-01-13,Algeria,Syria,3,1,Palestine Cup,Baghdad,Iraq,True
1973-05-04,Syria,Kuwait,2,1,FIFA World Cup qualification,Tehran,Iran,True
1973-05-06,North Korea,Syria,1,1,FIFA World Cup qualification,Tehran,Iran,True
1973-05-08,Iran,Syria,1,0,FIFA World Cup qualification,Tehran,Iran,False
1973-05-11,Syria,Kuwait,2,0,FIFA World Cup qualification,Tehran,Iran,True
1973-05-13,North Korea,Syria,3,0,FIFA World Cup qualification,Tehran,Iran,True
1973-05-15,Iran,Syria,0,1,FIFA World Cup qualification,Tehran,Iran,False
1973-07-21,Syria,Palestine,1,1,Palestine Cup,Tripoli,Libya,True
1973-08-13,Syria,Tunisia,1,4,Palestine Cup,Tripoli,Libya,True
1973-08-16,Syria,Yemen DPR,7,1,Palestine Cup,Tripoli,Libya,True
1973-08-20,Egypt,Syria,0,2,Palestine Cup,Tripoli,Libya,True
