Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1960-06-05,Tunisia,Iraq,2,1,Friendly,Tunis,Tunisia,False
1960-12-23,Iraq,Tunisia,3,2,Friendly,Baghdad,Iraq,False
1964-11-13,Kuwait,Iraq,0,1,Arab Cup,Kuwait City,Kuwait,False
1964-11-16,Iraq,Lebanon,1,0,Arab Cup,Kuwait City,Kuwait,True
1964-11-17,Iraq,Libya,1,1,Arab Cup,Kuwait City,Kuwait,True
1965-07-30,Jordan,Iraq,0,0,Friendly,Amman,Jordan,False
1966-03-14,Libya,Iraq,0,2,Friendly,Tripoli,Libya,False
1966-03-18,Iraq,Morocco,0,1,Friendly,Tripoli,Libya,True
1966-03-19,Iraq,Morocco,1,2,Friendly,Tripoli,Libya,True
1966-04-01,Iraq,Kuwait,3,1,Arab Cup,Baghdad,Iraq,False
1966-04-02,Iraq,Jordan,2,1,Arab Cup,Baghdad,Iraq,False
1966-04-05,Iraq,Bahrain,10,1,Arab Cup,Baghdad,Iraq,False
1966-04-07,Iraq,Lebanon,0,0,Arab Cup,Baghdad,Iraq,False
1966-04-09,Iraq,Libya,3,1,Arab Cup,Baghdad,Iraq,False
1966-04-10,Iraq,Syria,2,1,Arab Cup,Baghdad,Iraq,False
1967-02-12,Iraq,German DR,1,1,Friendly,Baghdad,Iraq,False
1967-03-10,Iraq,Sudan,2,2,Friendly,Tripoli,Libya,True
1967-03-12,Libya,Iraq,0,1,Friendly,Tripoli,Libya,False
1969-03-07,Iran,Iraq,2,1,Friendly,Tehran,Iran,False
1969-03-10,Iraq,Pakistan,1,2,Friendly,Tehran,Iran,True
1969-11-18,Iraq,Poland,1,1,Friendly,Baghdad,Iraq,False
1969-12-08,Iraq,German DR,1,1,Friendly,Baghdad,Iraq,False
1970-07-22,Poland,Iraq,2,0,Friendly,Szczecin,Poland,False
1970-07-26,German DR,Iraq,5,0,Friendly,Jena,German DR,False
1971-01-28,Kuwait,Iraq,0,2,Friendly,Kuwait City,Kuwait,False
1971-11-19,Iraq,Kuwait,3,1,Friendly,Baghdad,Iraq,False
1971-12-10,Kuwait,Iraq,1,1,AFC Asian Cup qualification,Kuwait City,Kuwait,False
1971-12-13,Iraq,Sri Lanka,5,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-15,Iraq,Bahrain,1,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-18,Iraq,Jordan,2,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-22,Iraq,Lebanon,4,1,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-24,Kuwait,Iraq,0,1,AFC Asian Cup qualification,Kuwait City,Kuwait,False
1972-01-01,Iraq,Egypt,0,0,Palestine Cup,Baghdad,Iraq,False
