Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1979-07-22,Georgia,Lithuania,5,0,Friendly,Moscow,Soviet Union,True
1990-05-27,Georgia,Lithuania,2,2,Friendly,Tbilisi,Soviet Union,False
1991-07-02,Moldova,Georgia,2,4,Friendly,Chișinău,Moldova,False
1992-09-02,Lithuania,Georgia,1,0,Friendly,Kaunas,Lithuania,False
1992-09-17,Georgia,Azerbaijan,6,3,Friendly,Gurjaani,Georgia,False
1992-12-22,Cyprus,Georgia,1,0,Friendly,Limassol,Cyprus,False
1993-05-25,Azerbaijan,Georgia,1,0,Friendly,Gəncə,Azerbaijan,False
1994-02-08,Georgia,Slovenia,0,1,Malta International Tournament,Attard,Malta,True
1994-02-10,Malta,Georgia,0,1,Malta International Tournament,Attard,Malta,False
1994-02-12,Georgia,Tunisia,2,0,Malta International Tournament,Attard,Malta,True
1994-02-23,Israel,Georgia,2,0,Friendly,Ashdod,Israel,False
1994-06-11,Nigeria,Georgia,5,1,Friendly,Ibadan,Nigeria,False
1994-06-26,Latvia,Georgia,1,3,Friendly,Riga,Latvia,False
1994-07-19,Georgia,Malta,1,1,Friendly,Tbilisi,Georgia,False
1994-09-07,Georgia,Moldova,0,1,UEFA Euro qualification,Tbilisi,Georgia,False
1994-10-12,Bulgaria,Georgia,2,0,UEFA Euro qualification,Sofia,Bulgaria,False
1994-11-16,Georgia,Wales,5,0,UEFA Euro qualification,Tbilisi,Georgia,False
1994-12-14,Albania,Georgia,0,1,UEFA Euro qualification,Tirana,Albania,False
1995-03-29,Georgia,Germany,0,2,UEFA Euro qualification,Tbilisi,Georgia,False
1995-04-26,Georgia,Albania,2,0,UEFA Euro qualification,Tbilisi,Georgia,False
1995-06-07,Wales,Georgia,0,1,UEFA Euro qualification,Cardiff,Wales,False
1995-09-06,Germany,Georgia,4,1,UEFA Euro qualification,Nuremberg,Germany,False
1995-10-11,Georgia,Bulgaria,2,1,UEFA Euro qualification,Tbilisi,Georgia,False
1995-11-15,Moldova,Georgia,3,2,UEFA Euro qualification,Chișinău,Moldova,False
1996-03-27,Cyprus,Georgia,0,2,Friendly,Limassol,Cyprus,False
1996-04-24,Romania,Georgia,5,0,Friendly,Bucharest,Romania,False
1996-05-08,Greece,Georgia,2,1,Friendly,Ioannina,Greece,False
1996-09-01,Norway,Georgia,1,0,Friendly,Oslo,Norway,False
1996-10-09,Italy,Georgia,1,0,FIFA World Cup qualification,Perugia,Italy,False
1996-11-09,Georgia,England,0,2,FIFA World Cup qualification,Tbilisi,Georgia,False
1996-12-05,Lebanon,Georgia,4,2,Friendly,Beirut,Lebanon,False
1996-12-08,Lebanon,Georgia,3,2,Friendly,Beirut,Lebanon,False
1997-03-30,Georgia,Armenia,7,0,Friendly,Tbilisi,Georgia,False
1997-04-30,England,Georgia,2,0,FIFA World Cup qualification,London,England,False
1997-06-07,Georgia,Moldova,2,0,FIFA World Cup qualification,Batumi,Georgia,False
1997-06-14,Poland,Georgia,4,1,FIFA World Cup qualification,Katowice,Poland,False
1997-09-10,Georgia,Italy,0,0,FIFA World Cup qualification,Tbilisi,Georgia,False
1997-09-24,Moldova,Georgia,0,1,FIFA World Cup qualification,Chișinău,Moldova,False
1997-10-11,Georgia,Poland,3,0,FIFA World Cup qualification,Tbilisi,Georgia,False
1998-02-06,Georgia,Latvia,2,1,Malta International Tournament,Attard,Malta,True
1998-02-08,Albania,Georgia,0,3,Malta International Tournament,Attard,Malta,True
1998-02-10,Malta,Georgia,1,3,Malta International Tournament,Attard,Malta,False
1998-05-02,Tunisia,Georgia,1,1,Friendly,Sousse,Tunisia,False
1998-05-30,Georgia,Russia,1,1,Friendly,Tbilisi,Georgia,False
1998-08-12,Azerbaijan,Georgia,1,0,Friendly,Gəncə,Azerbaijan,False
1998-08-19,Ukraine,Georgia,4,0,Friendly,Kyiv,Ukraine,False
1998-09-05,Georgia,Albania,1,0,UEFA Euro qualification,Tbilisi,Georgia,False
1998-10-10,Latvia,Georgia,1,0,UEFA Euro qualification,Riga,Latvia,False
1998-10-14,Greece,Georgia,3,0,UEFA Euro qualification,Athens,Greece,False
1998-11-18,Georgia,Estonia,3,1,Friendly,Tbilisi,Georgia,False
1999-03-20,Georgia,Ukraine,0,1,Friendly,Tbilisi,Georgia,False
1999-03-27,Georgia,Slovenia,1,1,UEFA Euro qualification,Tbilisi,Georgia,False
1999-04-28,Georgia,Norway,1,4,UEFA Euro qualification,Tbilisi,Georgia,False
1999-05-30,Norway,Georgia,1,0,UEFA Euro qualification,Oslo,Norway,False
1999-06-05,Georgia,Greece,1,2,UEFA Euro qualification,Tbilisi,Georgia,False
1999-09-04,Slovenia,Georgia,2,1,UEFA Euro qualification,Ljubljana,Slovenia,False
1999-09-08,Georgia,Latvia,2,2,UEFA Euro qualification,Tbilisi,Georgia,False
1999-10-09,Albania,Georgia,2,1,UEFA Euro qualification,Tirana,Albania,False
2000-02-04,Romania,Georgia,1,1,Cyprus International Tournament,Larnaca,Cyprus,True
2000-02-06,Georgia,Armenia,2,1,Cyprus International Tournament,Limassol,Cyprus,True
2000-03-29,Israel,Georgia,1,1,Friendly,Ashkelon,Israel,False
2000-04-26,Armenia,Georgia,0,0,Friendly,Yerevan,Armenia,False
2000-06-04,Azerbaijan,Georgia,0,0,Friendly,Baku,Azerbaijan,False
2000-06-11,Estonia,Georgia,1,0,Friendly,Tallinn,Estonia,False
2000-08-16,Iran,Georgia,2,1,Friendly,Tehran,Iran,False
2000-10-07,Lithuania,Georgia,0,4,FIFA World Cup qualification,Kaunas,Lithuania,False
2000-10-11,Italy,Georgia,2,0,FIFA World Cup qualification,Ancona,Italy,False
2001-02-14,Georgia,Ukraine,0,0,Friendly,Tbilisi,Georgia,False
2001-03-28,Georgia,Romania,0,2,FIFA World Cup qualification,Tbilisi,Georgia,False
2001-04-24,Georgia,Israel,3,2,Friendly,Tbilisi,Georgia,False
2001-05-09,Georgia,Azerbaijan,1,0,Friendly,Kutaisi,Georgia,False
2001-06-02,Georgia,Italy,1,2,FIFA World Cup qualification,Tbilisi,Georgia,False
2001-06-06,Hungary,Georgia,4,1,FIFA World Cup qualification,Budapest,Hungary,False
2001-08-15,Luxembourg,Georgia,0,3,Friendly,Mondercange,Luxembourg,False
2001-09-01,Georgia,Hungary,3,1,FIFA World Cup qualification,Tbilisi,Georgia,False
2001-09-05,Georgia,Lithuania,2,0,FIFA World Cup qualification,Tbilisi,Georgia,False
2001-10-06,Romania,Georgia,1,1,FIFA World Cup qualification,Bucharest,Romania,False
2002-03-27,Georgia,South Africa,4,1,Friendly,Tbilisi,Georgia,False
2002-04-17,Ukraine,Georgia,2,1,Friendly,Kyiv,Ukraine,False
2002-08-21,Turkey,Georgia,3,0,Friendly,Trabzon,Turkey,False
2002-09-08,Switzerland,Georgia,4,1,UEFA Euro qualification,Basel,Switzerland,False
2003-02-12,Georgia,Moldova,2,2,Friendly,Tbilisi,Georgia,False
2003-03-29,Georgia,Republic of Ireland,1,2,UEFA Euro qualification,Tbilisi,Georgia,False
2003-04-02,Georgia,Switzerland,0,0,UEFA Euro qualification,Tbilisi,Georgia,False
2003-04-30,Georgia,Russia,1,0,UEFA Euro qualification,Tbilisi,Georgia,False
2003-06-11,Republic of Ireland,Georgia,2,0,UEFA Euro qualification,Dublin,Republic of Ireland,False
2003-09-06,Georgia,Albania,3,0,UEFA Euro qualification,Tbilisi,Georgia,False
2003-09-10,Albania,Georgia,3,1,UEFA Euro qualification,Tirana,Albania,False
2003-10-11,Russia,Georgia,3,1,UEFA Euro qualification,Moscow,Russia,False
2004-02-18,Romania,Georgia,3,0,Cyprus International Tournament,Larnaca,Cyprus,True
2004-02-19,Cyprus,Georgia,3,1,Cyprus International Tournament,Nicosia,Cyprus,False
2004-02-21,Georgia,Armenia,0,2,Cyprus International Tournament,Nicosia,Cyprus,True
2004-05-27,Georgia,Israel,0,1,Friendly,Tbilisi,Georgia,False
2004-08-18,Moldova,Georgia,1,0,Friendly,Tiraspol,Moldova,False
2004-09-04,Turkey,Georgia,1,1,FIFA World Cup qualification,Trabzon,Turkey,False
2004-09-08,Georgia,Albania,2,0,FIFA World Cup qualification,Tbilisi,Georgia,False
