Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1924-04-06,Aruba,Curaçao,0,4,Friendly,Oranjestad,Aruba,False
1926-01-24,Haiti,Curaçao,1,1,Friendly,Port-au-Prince,Haiti,False
1926-01-31,Haiti,Curaçao,0,1,Friendly,Port-au-Prince,Haiti,False
1926-02-07,Haiti,Curaçao,2,1,Friendly,Port-au-Prince,Haiti,False
1926-02-14,Haiti,Curaçao,2,2,Friendly,Port-au-Prince,Haiti,False
1926-03-03,Jamaica,Curaçao,2,0,Friendly,Kingston,Jamaica,False
1930-04-20,Curaçao,Aruba,2,1,Friendly,Willemstad,Curaçao,False
1931-04-05,Curaçao,Aruba,1,0,Friendly,Willemstad,Curaçao,False
1933-10-08,Aruba,Curaçao,1,3,Friendly,Oranjestad,Aruba,False
1933-10-11,Aruba,Curaçao,0,2,Friendly,Oranjestad,Aruba,False
1934-07-22,Curaçao,Suriname,3,1,Friendly,Willemstad,Curaçao,False
1934-07-25,Curaçao,Suriname,3,2,Friendly,Willemstad,Curaçao,False
1934-07-29,Curaçao,Suriname,2,2,Friendly,Willemstad,Curaçao,False
1935-03-23,Curaçao,Aruba,2,0,Friendly,Willemstad,Curaçao,False
1935-03-24,Curaçao,Aruba,4,0,Friendly,Willemstad,Curaçao,False
1935-05-20,Suriname,Curaçao,0,1,Friendly,Paramaribo,Dutch Guyana,False
1935-05-22,Suriname,Curaçao,4,1,Friendly,Paramaribo,Dutch Guyana,False
1935-05-24,Suriname,Curaçao,2,1,Friendly,Paramaribo,Dutch Guyana,False
1935-09-20,Curaçao,Aruba,1,0,Friendly,Willemstad,Curaçao,False
1935-12-15,Curaçao,Trinidad and Tobago,3,1,Friendly,Willemstad,Curaçao,False
1936-01-30,Curaçao,Trinidad and Tobago,4,2,Friendly,Willemstad,Curaçao,False
1936-02-22,Trinidad and Tobago,Curaçao,3,0,Friendly,Port of Spain,Trinidad and Tobago,False
1937-05-01,Aruba,Curaçao,1,1,Friendly,Oranjestad,Aruba,False
1937-05-02,Aruba,Curaçao,1,1,Friendly,Oranjestad,Aruba,False
1938-07-05,Curaçao,Suriname,2,1,Friendly,Willemstad,Curaçao,False
1938-07-07,Curaçao,Suriname,1,0,Friendly,Willemstad,Curaçao,False
1938-07-10,Curaçao,Suriname,4,1,Friendly,Willemstad,Curaçao,False
1941-01-18,Curaçao,Aruba,4,0,Friendly,Willemstad,Curaçao,False
1941-01-19,Curaçao,Aruba,2,1,Friendly,Willemstad,Curaçao,False
1941-04-13,Aruba,Curaçao,0,0,Friendly,Oranjestad,Aruba,False
1941-04-14,Aruba,Curaçao,2,2,Friendly,Oranjestad,Aruba,False
1941-05-08,Curaçao,Panama,3,3,CCCF Championship,San José,Costa Rica,True
1941-05-11,Curaçao,El Salvador,2,2,CCCF Championship,San José,Costa Rica,True
1941-05-13,Costa Rica,Curaçao,6,2,CCCF Championship,San José,Costa Rica,False
1941-05-15,Curaçao,Nicaragua,9,1,CCCF Championship,San José,Costa Rica,True
1942-05-25,Curaçao,Aruba,2,2,Friendly,Willemstad,Curaçao,False
1943-09-25,Curaçao,Aruba,3,3,Friendly,Willemstad,Curaçao,False
1943-09-26,Curaçao,Aruba,2,2,Friendly,Willemstad,Curaçao,False
1943-12-11,Aruba,Curaçao,1,2,Friendly,Oranjestad,Aruba,False
1943-12-12,Aruba,Curaçao,1,1,Friendly,Oranjestad,Aruba,False
1944-04-02,Curaçao,Haiti,5,0,Friendly,Willemstad,Curaçao,False
1944-04-09,Curaçao,Venezuela,3,3,Friendly,Willemstad,Curaçao,False
1944-04-10,Curaçao,Aruba,3,1,Friendly,Willemstad,Curaçao,False
1944-07-29,Curaçao,Aruba,2,4,Friendly,Willemstad,Curaçao,False
1944-07-30,Curaçao,Aruba,2,3,Friendly,Willemstad,Curaçao,False
1944-08-25,Suriname,Curaçao,1,2,Friendly,Paramaribo,Dutch Guyana,False
1944-08-29,Aruba,Curaçao,1,2,Friendly,Paramaribo,Dutch Guyana,True
1944-08-31,Suriname,Curaçao,0,2,Friendly,Paramaribo,Dutch Guyana,False
1944-09-02,Aruba,Curaçao,1,5,Friendly,Paramaribo,Dutch Guyana,True
1945-12-08,Aruba,Curaçao,2,1,Friendly,Oranjestad,Aruba,False
1945-12-09,Aruba,Curaçao,2,1,Friendly,Oranjestad,Aruba,False
1946-05-26,Curaçao,Aruba,2,1,Friendly,Willemstad,Curaçao,False
1946-06-10,Curaçao,Suriname,6,0,Friendly,Willemstad,Curaçao,False
1946-11-23,Aruba,Curaçao,0,4,Friendly,Oranjestad,Aruba,False
1946-11-24,Aruba,Curaçao,3,1,Friendly,Oranjestad,Aruba,False
1946-12-09,Colombia,Curaçao,4,2,Central American and Caribbean Games,Barranquilla,Colombia,False
1946-12-12,Curaçao,Guatemala,2,2,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-15,Curaçao,Puerto Rico,14,0,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-17,Panama,Curaçao,2,2,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-19,Curaçao,Venezuela,1,0,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-20,Curaçao,Costa Rica,4,2,Central American and Caribbean Games,Barranquilla,Colombia,True
1947-03-01,Curaçao,Trinidad and Tobago,4,0,Friendly,Willemstad,Curaçao,False
1947-03-02,Curaçao,Trinidad and Tobago,3,0,Friendly,Willemstad,Curaçao,False
1947-06-21,Curaçao,Aruba,4,1,Friendly,Willemstad,Curaçao,False
1947-06-22,Curaçao,Aruba,0,0,Friendly,Willemstad,Curaçao,False
1948-03-04,Panama,Curaçao,1,3,CCCF Championship,Guatemala City,Guatemala,True
1948-03-05,Guatemala,Curaçao,2,2,CCCF Championship,Guatemala City,Guatemala,False
1948-03-07,Costa Rica,Curaçao,2,1,CCCF Championship,Guatemala City,Guatemala,True
1948-03-09,El Salvador,Curaçao,1,0,CCCF Championship,Guatemala City,Guatemala,True
1948-03-11,Curaçao,El Salvador,0,2,CCCF Championship,Guatemala City,Guatemala,True
1948-03-14,Curaçao,Panama,2,5,CCCF Championship,Guatemala City,Guatemala,True
1948-03-18,Guatemala,Curaçao,2,2,CCCF Championship,Guatemala City,Guatemala,False
1948-03-20,Curaçao,Costa Rica,4,1,CCCF Championship,Guatemala City,Guatemala,True
1949-07-30,Curaçao,Aruba,3,0,Friendly,Willemstad,Curaçao,False
1950-11-18,Curaçao,Suriname,2,3,Friendly,Port of Spain,Trinidad and Tobago,True
1950-11-22,Trinidad and Tobago,Curaçao,3,2,Friendly,Port of Spain,Trinidad and Tobago,False
1950-11-28,Curaçao,Suriname,3,0,Friendly,Port of Spain,Trinidad and Tobago,True
1950-12-02,Trinidad and Tobago,Curaçao,5,1,Friendly,Port of Spain,Trinidad and Tobago,False
1952-02-02,Curaçao,Aruba,3,0,Friendly,Willemstad,Curaçao,False
1952-02-03,Curaçao,Aruba,3,1,Friendly,Willemstad,Curaçao,False
1952-07-03,Netherlands,Curaçao,3,3,Friendly,Amsterdam,Netherlands,False
1953-03-09,Guatemala,Curaçao,1,1,CCCF Championship,San José,Costa Rica,True
1953-03-11,Curaçao,Nicaragua,8,0,CCCF Championship,San José,Costa Rica,True
1953-03-12,Panama,Curaçao,2,4,CCCF Championship,San José,Costa Rica,True
1953-03-15,Costa Rica,Curaçao,1,0,CCCF Championship,San José,Costa Rica,False
1953-03-19,Curaçao,Honduras,3,4,CCCF Championship,San José,Costa Rica,True
1953-03-21,El Salvador,Curaçao,1,1,CCCF Championship,San José,Costa Rica,True
1954-07-25,Curaçao,Netherlands,2,0,Friendly,Willemstad,Curaçao,False
1954-07-29,Curaçao,Netherlands,2,1,Friendly,Willemstad,Curaçao,False
1955-08-16,Curaçao,Aruba,2,1,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-18,Guatemala,Curaçao,4,1,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-20,Honduras,Curaçao,0,2,CCCF Championship,Tegucigalpa,Honduras,False
1955-08-24,Costa Rica,Curaçao,2,1,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-26,Curaçao,El Salvador,3,0,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-28,Curaçao,Cuba,2,0,CCCF Championship,Tegucigalpa,Honduras,True
1956-01-13,Curaçao,Martinique,3,1,Friendly,Willemstad,Curaçao,False
1956-01-15,Curaçao,Martinique,3,1,Friendly,Willemstad,Curaçao,False
1956-03-31,Guadeloupe,Curaçao,1,2,Friendly,Fort-de-France,Martinique,True
1956-04-01,Martinique,Curaçao,0,1,Friendly,Fort-de-France,Martinique,False
1957-03-03,Costa Rica,Curaçao,4,0,FIFA World Cup qualification,San José,Costa Rica,False
1957-03-14,Guatemala,Curaçao,1,3,FIFA World Cup qualification,Guatemala City,Guatemala,False
1957-08-04,Curaçao,Costa Rica,1,2,FIFA World Cup qualification,Willemstad,Curaçao,False
1957-08-13,Curaçao,Haiti,1,3,CCCF Championship,Willemstad,Curaçao,False
1957-08-18,Curaçao,Cuba,2,0,CCCF Championship,Willemstad,Curaçao,False
1957-08-21,Curaçao,Panama,3,0,CCCF Championship,Willemstad,Curaçao,False
1957-08-25,Curaçao,Honduras,1,1,CCCF Championship,Willemstad,Curaçao,False
1958-04-23,Netherlands,Curaçao,8,1,Friendly,Rotterdam,Netherlands,False
1958-05-15,Denmark,Curaçao,3,2,Friendly,Aarhus,Denmark,False
1960-02-14,Costa Rica,Curaçao,1,1,CCCF Championship,Havana,Cuba,True
1960-02-19,Honduras,Curaçao,3,3,CCCF Championship,Havana,Cuba,True
1960-02-23,Cuba,Curaçao,3,4,CCCF Championship,Havana,Cuba,False
1960-02-27,Curaçao,Suriname,1,0,CCCF Championship,Havana,Cuba,True
1960-02-29,Costa Rica,Curaçao,4,0,CCCF Championship,Havana,Cuba,True
1960-06-29,Curaçao,Netherlands,0,0,Friendly,Willemstad,Curaçao,False
1960-10-02,Suriname,Curaçao,1,2,FIFA World Cup qualification,Paramaribo,Dutch Guyana,False
1960-11-27,Curaçao,Suriname,0,0,FIFA World Cup qualification,Willemstad,Curaçao,True
1961-03-06,Curaçao,El Salvador,0,0,CCCF Championship,San José,Costa Rica,True
1961-03-10,Curaçao,Honduras,2,4,CCCF Championship,San José,Costa Rica,True
1961-03-13,Curaçao,Nicaragua,2,1,CCCF Championship,San José,Costa Rica,True
1961-03-29,Costa Rica,Curaçao,6,0,FIFA World Cup qualification,San José,Costa Rica,False
1961-04-05,Mexico,Curaçao,7,0,FIFA World Cup qualification,Mexico City,Mexico,False
1961-04-23,Curaçao,Costa Rica,2,0,FIFA World Cup qualification,Willemstad,Curaçao,True
1961-05-21,Curaçao,Mexico,0,0,FIFA World Cup qualification,Willemstad,Curaçao,True
1962-03-27,Curaçao,Suriname,1,0,Friendly,Willemstad,Curaçao,False
1962-07-07,Jamaica,Curaçao,4,4,Friendly,Kingston,Jamaica,False
1962-07-09,Jamaica,Curaçao,2,1,Friendly,Kingston,Jamaica,False
1962-07-11,Jamaica,Curaçao,1,2,Friendly,Kingston,Jamaica,False
1962-09-05,Netherlands,Curaçao,8,0,Friendly,Amsterdam,Netherlands,False
1962-09-11,Denmark,Curaçao,3,1,Friendly,Odense,Denmark,False
1963-02-27,Jamaica,Curaçao,1,2,Phillip Seaga Cup,Kingston,Jamaica,False
1963-03-02,Haiti,Curaçao,0,1,Phillip Seaga Cup,Kingston,Jamaica,True
1963-03-04,Jamaica,Curaçao,1,2,Friendly,Kingston,Jamaica,False
1963-03-24,Mexico,Curaçao,1,2,CONCACAF Championship,Santa Ana,El Salvador,True
1963-03-28,Costa Rica,Curaçao,1,0,CONCACAF Championship,Santa Ana,El Salvador,True
1963-03-30,Jamaica,Curaçao,1,2,CONCACAF Championship,Santa Ana,El Salvador,True
1963-04-03,Honduras,Curaçao,1,4,CONCACAF Championship,San Salvador,El Salvador,True
1963-04-05,Costa Rica,Curaçao,1,0,CONCACAF Championship,San Salvador,El Salvador,True
1963-04-07,El Salvador,Curaçao,3,2,CONCACAF Championship,San Salvador,El Salvador,False
1963-10-15,Suriname,Curaçao,2,3,Friendly,Paramaribo,Dutch Guyana,False
1965-01-20,Cuba,Curaçao,1,1,FIFA World Cup qualification,Kingston,Jamaica,True
1965-01-23,Jamaica,Curaçao,2,0,FIFA World Cup qualification,Kingston,Jamaica,False
1965-01-30,Cuba,Curaçao,0,1,FIFA World Cup qualification,Havana,Cuba,False
1965-02-03,Curaçao,Jamaica,0,0,FIFA World Cup qualification,Havana,Cuba,True
1965-03-09,Curaçao,Costa Rica,1,2,Friendly,Willemstad,Curaçao,False
1965-03-28,Costa Rica,Curaçao,6,0,CONCACAF Championship,Guatemala City,Guatemala,True
1965-03-30,El Salvador,Curaçao,1,1,CONCACAF Championship,Guatemala City,Guatemala,True
1965-04-01,Mexico,Curaçao,5,0,CONCACAF Championship,Guatemala City,Guatemala,True
1965-04-06,Guatemala,Curaçao,3,2,CONCACAF Championship,Guatemala City,Guatemala,False
1965-04-08,Haiti,Curaçao,1,1,CONCACAF Championship,Guatemala City,Guatemala,True
1966-06-10,Curaçao,Jamaica,0,0,Friendly,Port-au-Prince,Haiti,True
1966-06-12,Trinidad and Tobago,Curaçao,1,0,Friendly,Port-au-Prince,Haiti,True
1966-06-16,Haiti,Curaçao,3,0,Friendly,Port-au-Prince,Haiti,False
1966-06-18,Guadeloupe,Curaçao,0,4,Friendly,Port-au-Prince,Haiti,True
1966-06-20,Curaçao,Suriname,1,1,Friendly,Port-au-Prince,Haiti,True
1967-01-11,Jamaica,Curaçao,1,1,CONCACAF Championship qualification,Kingston,Jamaica,False
1967-01-13,Curaçao,Trinidad and Tobago,1,2,CONCACAF Championship qualification,Kingston,Jamaica,True
1967-01-17,Curaçao,Cuba,2,2,CONCACAF Championship qualification,Kingston,Jamaica,True
1967-01-19,Curaçao,Haiti,0,1,CONCACAF Championship qualification,Kingston,Jamaica,True
1968-10-04,Curaçao,Costa Rica,1,1,Friendly,Willemstad,Curaçao,False
1968-11-24,Suriname,Curaçao,6,0,FIFA World Cup qualification,Paramaribo,Dutch Guyana,False
1968-12-05,Curaçao,Suriname,2,0,FIFA World Cup qualification,Oranjestad,Aruba,True
1968-12-12,El Salvador,Curaçao,1,0,FIFA World Cup qualification,San Salvador,El Salvador,False
1968-12-15,El Salvador,Curaçao,2,1,FIFA World Cup qualification,San Salvador,El Salvador,False
1969-11-27,Costa Rica,Curaçao,2,1,CONCACAF Championship,San José,Costa Rica,False
1969-11-29,Guatemala,Curaçao,6,1,CONCACAF Championship,San José,Costa Rica,True
1969-12-02,Curaçao,Trinidad and Tobago,3,1,CONCACAF Championship,San José,Costa Rica,True
1969-12-04,Mexico,Curaçao,2,2,CONCACAF Championship,San José,Costa Rica,True
1969-12-06,Jamaica,Curaçao,1,2,CONCACAF Championship,San José,Costa Rica,True
1970-10-07,Curaçao,Trinidad and Tobago,1,1,Friendly,Paramaribo,Dutch Guyana,True
1970-10-09,Suriname,Curaçao,5,1,Friendly,Paramaribo,Dutch Guyana,False
1971-11-30,Barbados,Curaçao,1,3,Friendly,Bridgetown,Barbados,False
1972-12-14,Haiti,Curaçao,3,0,Friendly,Port-au-Prince,Haiti,False
1972-12-17,Haiti,Curaçao,4,1,Friendly,Port-au-Prince,Haiti,False
1973-10-27,Curaçao,Suriname,1,1,Friendly,Willemstad,Curaçao,False
1973-10-29,Curaçao,Suriname,2,2,Friendly,Willemstad,Curaçao,False
1973-12-01,Haiti,Curaçao,3,0,CONCACAF Championship,Port-au-Prince,Haiti,False
1973-12-05,Guatemala,Curaçao,2,2,CONCACAF Championship,Port-au-Prince,Haiti,True
