Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1947-12-05,Djibouti,Ethiopia,0,5,Friendly,Djibouti,French Somaliland,False
1948-06-01,Djibouti,Ethiopia,1,2,Friendly,Djibouti,French Somaliland,False
1949-05-01,Ethiopia,Djibouti,6,0,Friendly,Addis Ababa,Ethiopia,False
1954-05-01,Ethiopia,Djibouti,10,2,Friendly,Addis Ababa,Ethiopia,False
1954-06-01,Djibouti,Ethiopia,0,2,Friendly,Djibouti,French Somaliland,False
1954-06-02,Djibouti,Ethiopia,1,2,Friendly,Djibouti,French Somaliland,False
1960-04-14,Cameroon,Djibouti,9,2,Friendly,Antananarivo,Madagascar,True
1960-04-14,Cameroon,Djibouti,9,2,African Friendship Games,Tananarive,Madagascar,True
1983-03-27,Ethiopia,Djibouti,8,1,Friendly,Addis Ababa,Ethiopia,False
1983-03-29,Ethiopia,Djibouti,4,2,Friendly,Addis Ababa,Ethiopia,False
1984-03-23,Djibouti,Ethiopia,0,2,Friendly,Djibouti,Djibouti,False
1984-06-03,Ethiopia,Djibouti,2,0,Friendly,Addis Ababa,Ethiopia,False
1984-06-07,Djibouti,Zimbabwe,1,3,Friendly,Addis Ababa,Ethiopia,True
1986-03-14,Djibouti,Ethiopia,1,5,Friendly,Djibouti,Djibouti,False
1986-03-18,Djibouti,Ethiopia,1,1,Friendly,Djibouti,Djibouti,False
1986-06-03,Djibouti,Ethiopia,0,2,Friendly,Djibouti,Djibouti,False
1988-02-25,Djibouti,Yemen DPR,4,1,Friendly,Djibouti,Djibouti,False
1994-11-28,Kenya,Djibouti,4,1,CECAFA Cup,Nairobi,Kenya,False
1994-12-01,Somalia,Djibouti,2,1,CECAFA Cup,Nairobi,Kenya,True
1994-12-03,Tanzania,Djibouti,3,0,CECAFA Cup,Nairobi,Kenya,True
1998-07-31,Kenya,Djibouti,3,0,African Cup of Nations qualification,Nairobi,Kenya,False
1998-08-15,Kenya,Djibouti,9,1,African Cup of Nations qualification,Nairobi,Kenya,False
1999-07-24,Rwanda,Djibouti,4,1,CECAFA Cup,Kigali,Rwanda,False
1999-07-26,Tanzania,Djibouti,2,1,CECAFA Cup,Kigali,Rwanda,True
2000-04-07,Djibouti,DR Congo,1,1,FIFA World Cup qualification,Djibouti,Djibouti,False
2000-04-23,DR Congo,Djibouti,9,1,FIFA World Cup qualification,Kinshasa,DR Congo,False
2000-06-30,Djibouti,Burundi,1,3,African Cup of Nations qualification,Djibouti,Djibouti,False
2000-07-15,Burundi,Djibouti,1,0,African Cup of Nations qualification,Bujumbura,Burundi,False
2000-11-19,Djibouti,Somalia,0,0,CECAFA Cup,Kampala,Uganda,True
2000-11-23,Djibouti,Burundi,2,4,CECAFA Cup,Kampala,Uganda,True
2000-11-25,Ethiopia,Djibouti,4,2,CECAFA Cup,Kampala,Uganda,True
2000-11-27,Uganda,Djibouti,7,0,CECAFA Cup,Kampala,Uganda,False
2001-12-09,Uganda,Djibouti,10,1,CECAFA Cup,Kigali,Rwanda,True
2001-12-11,Burundi,Djibouti,3,1,CECAFA Cup,Kigali,Rwanda,True
2001-12-13,Tanzania,Djibouti,4,1,CECAFA Cup,Kigali,Rwanda,True
2005-11-27,Djibouti,Somalia,1,2,CECAFA Cup,Kigali,Rwanda,True
2005-11-30,Djibouti,Uganda,1,6,CECAFA Cup,Kigali,Rwanda,True
2005-12-03,Djibouti,Ethiopia,0,6,CECAFA Cup,Kigali,Rwanda,True
2005-12-05,Djibouti,Sudan,0,4,CECAFA Cup,Kigali,Rwanda,True
2006-11-26,Djibouti,Malawi,0,3,CECAFA Cup,Addis Ababa,Ethiopia,True
2006-11-28,Ethiopia,Djibouti,4,0,CECAFA Cup,Addis Ababa,Ethiopia,False
2006-12-01,Tanzania,Djibouti,3,0,CECAFA Cup,Addis Ababa,Ethiopia,True
2006-12-17,Djibouti,Comoros,2,4,Arab Cup qualification,Sana'a,Yemen,True
2006-12-20,Yemen,Djibouti,4,1,Arab Cup qualification,Sana'a,Yemen,False
2007-11-16,Djibouti,Somalia,1,0,FIFA World Cup qualification,Djibouti,Djibouti,False
2007-12-09,Uganda,Djibouti,7,0,CECAFA Cup,Dar es Salaam,Tanzania,True
2007-12-11,Djibouti,Eritrea,2,3,CECAFA Cup,Dar es Salaam,Tanzania,True
