Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1953-06-02,Gambia,Guinea-Bissau,1,3,Friendly,Bathurst,Gambia,False
1953-06-08,Guinea-Bissau,Gambia,1,0,Friendly,Bissau,Portuguese Guinea,False
1960-01-27,Guinea-Bissau,Gambia,3,2,Friendly,Bissau,Portuguese Guinea,False
1960-01-31,Guinea-Bissau,Sierra Leone,3,4,Friendly,Kumasi,Ghana,True
1960-10-02,Nigeria,Guinea-Bissau,4,1,Friendly,Lagos,Nigeria,False
1975-06-08,Guinea-Bissau,Gambia,1,0,Friendly,Bissau,Guinea-Bissau,False
1976-01-14,Gambia,Guinea-Bissau,3,1,Friendly,Banjul,Gambia,False
1976-01-16,Guinea-Bissau,Mali,1,1,Friendly,Banjul,Gambia,True
1977-04-08,Guinea-Bissau,Mali,1,3,Friendly,Bissau,Guinea-Bissau,False
1979-01-07,Guinea-Bissau,Cape Verde,3,0,Amílcar Cabral Cup,Bissau,Guinea-Bissau,False
1979-01-11,Guinea-Bissau,Senegal,0,2,Amílcar Cabral Cup,Bissau,Guinea-Bissau,False
1979-01-13,Guinea-Bissau,Mali,1,1,Amílcar Cabral Cup,Bissau,Guinea-Bissau,False
1979-01-14,Guinea-Bissau,Guinea,2,2,Amílcar Cabral Cup,Bissau,Guinea-Bissau,False
1980-02-09,Gambia,Guinea-Bissau,2,0,Amílcar Cabral Cup,Banjul,Gambia,False
1980-02-11,Guinea-Bissau,Guinea,1,2,Amílcar Cabral Cup,Banjul,Gambia,True
