Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1992-06-17,Tajikistan,Uzbekistan,2,2,Friendly,Dushanbe,Tajikistan,False
1992-07-11,Turkmenistan,Tajikistan,3,3,Friendly,Ashgabat,Turkmenistan,False
1993-06-02,Turkmenistan,Tajikistan,6,0,Friendly,Ashgabat,Turkmenistan,False
1993-06-06,Azerbaijan,Tajikistan,2,0,Friendly,Tehran,Iran,True
1993-06-08,Kyrgyzstan,Tajikistan,1,1,Friendly,Tehran,Iran,True
1993-06-13,Iran,Tajikistan,1,0,Friendly,Tehran,Iran,False
1994-04-11,Kazakhstan,Tajikistan,1,0,Friendly,Tashkent,Uzbekistan,True
1994-04-15,Kyrgyzstan,Tajikistan,0,1,Friendly,Tashkent,Uzbekistan,True
1994-04-17,Uzbekistan,Tajikistan,1,1,Friendly,Tashkent,Uzbekistan,False
1994-04-19,Tajikistan,Turkmenistan,0,2,Friendly,Tashkent,Uzbekistan,True
1996-05-08,Tajikistan,Uzbekistan,4,0,AFC Asian Cup qualification,Dushanbe,Tajikistan,False
1996-06-19,Uzbekistan,Tajikistan,5,0,AFC Asian Cup qualification,Tashkent,Uzbekistan,False
1997-05-04,Tajikistan,Vietnam,4,0,FIFA World Cup qualification,Dushanbe,Tajikistan,False
1997-05-11,Tajikistan,China PR,0,1,FIFA World Cup qualification,Dushanbe,Tajikistan,False
1997-05-25,Turkmenistan,Tajikistan,1,2,FIFA World Cup qualification,Ashgabat,Turkmenistan,False
1997-06-01,Vietnam,Tajikistan,0,4,FIFA World Cup qualification,Ho Chi Minh City,Vietnam,False
1997-06-08,China PR,Tajikistan,0,0,FIFA World Cup qualification,Beijing,China PR,False
1997-06-22,Tajikistan,Turkmenistan,5,0,FIFA World Cup qualification,Dushanbe,Tajikistan,False
1997-08-24,South Korea,Tajikistan,4,1,Friendly,Daegu,South Korea,False
1998-12-01,Tajikistan,Maldives,3,0,Asian Games,Suphan Buri,Thailand,True
1998-12-03,Qatar,Tajikistan,2,1,Asian Games,Suphan Buri,Thailand,True
1998-12-08,China PR,Tajikistan,3,1,Asian Games,Bangkok,Thailand,True
1998-12-10,Tajikistan,Iran,0,5,Asian Games,Bangkok,Thailand,True
1998-12-12,Tajikistan,Oman,3,3,Asian Games,Bangkok,Thailand,True
1999-08-03,Tajikistan,Iraq,1,2,AFC Asian Cup qualification,Dushanbe,Tajikistan,False
1999-08-05,Tajikistan,Kyrgyzstan,3,2,AFC Asian Cup qualification,Dushanbe,Tajikistan,False
1999-08-07,Tajikistan,Oman,2,1,AFC Asian Cup qualification,Dushanbe,Tajikistan,False
2000-11-26,Tajikistan,Guam,16,0,FIFA World Cup qualification,Tabriz,Iran,True
2000-11-28,Iran,Tajikistan,2,0,FIFA World Cup qualification,Tabriz,Iran,False
2003-11-06,Thailand,Tajikistan,0,1,AFC Asian Cup qualification,Tashkent,Uzbekistan,True
2003-11-08,Hong Kong,Tajikistan,0,0,AFC Asian Cup qualification,Tashkent,Uzbekistan,True
2003-11-10,Uzbekistan,Tajikistan,0,0,AFC Asian Cup qualification,Tashkent,Uzbekistan,False
2003-11-17,Tajikistan,Uzbekistan,1,4,AFC Asian Cup qualification,Bangkok,Thailand,True
2003-11-19,Thailand,Tajikistan,1,0,AFC Asian Cup qualification,Bangkok,Thailand,False
2003-11-21,Tajikistan,Hong Kong,1,0,AFC Asian Cup qualification,Bangkok,Thailand,True
2003-11-26,Bangladesh,Tajikistan,0,2,FIFA World Cup qualification,Dhaka,Bangladesh,False
2003-11-30,Tajikistan,Bangladesh,2,0,FIFA World Cup qualification,Dushanbe,Tajikistan,False
2004-02-18,Kyrgyzstan,Tajikistan,1,2,FIFA World Cup qualification,Bishkek,Kyrgyzstan,False
2004-03-31,Tajikistan,Bahrain,0,0,FIFA World Cup qualification,Dushanbe,Tajikistan,False
2004-06-10,Syria,Tajikistan,2,1,FIFA World Cup qualification,Homs,Syria,False
2004-09-08,Tajikistan,Syria,0,1,FIFA World Cup qualification,Dushanbe,Tajikistan,False
2004-10-13,Tajikistan,Kyrgyzstan,2,1,FIFA World Cup qualification,Dushanbe,Tajikistan,False
2004-11-17,Bahrain,Tajikistan,4,0,FIFA World Cup qualification,Riffa,Bahrain,False
2004-12-06,Kuwait,Tajikistan,3,0,Friendly,Kuwait City,Kuwait,False
2005-01-25,Saudi Arabia,Tajikistan,3,0,Friendly,Riyadh,Saudi Arabia,False
2005-11-09,Tajikistan,Afghanistan,4,0,Friendly,Dushanbe,Tajikistan,False
2006-02-14,Qatar,Tajikistan,2,0,Friendly,Doha,Qatar,False
2006-04-02,Tajikistan,Macau,4,0,AFC Challenge Cup,Dhaka,Bangladesh,True
2006-04-04,Pakistan,Tajikistan,0,2,AFC Challenge Cup,Dhaka,Bangladesh,True
2006-04-06,Tajikistan,Kyrgyzstan,0,1,AFC Challenge Cup,Dhaka,Bangladesh,True
2006-04-10,Bangladesh,Tajikistan,1,6,AFC Challenge Cup,Dhaka,Bangladesh,False
2006-04-13,Tajikistan,Kyrgyzstan,2,0,AFC Challenge Cup,Dhaka,Bangladesh,True
2006-04-16,Sri Lanka,Tajikistan,0,4,AFC Challenge Cup,Dhaka,Bangladesh,True
2006-07-02,Kazakhstan,Tajikistan,4,1,Friendly,Almaty,Kazakhstan,False
2006-11-19,Tibet,Tajikistan,0,3,ELF Cup,Güzelyurt,Northern Cyprus,True
2006-11-20,Northern Cyprus,Tajikistan,5,1,ELF Cup,Güzelyurt,Northern Cyprus,False
2006-11-21,Tajikistan,Crimea,1,2,ELF Cup,Gazimağusa,Northern Cyprus,True
2007-08-22,Tajikistan,Azerbaijan,2,3,Friendly,Dushanbe,Tajikistan,False
2007-09-08,Kazakhstan,Tajikistan,1,1,Friendly,Almaty,Kazakhstan,False
2007-10-08,Bangladesh,Tajikistan,1,1,FIFA World Cup qualification,Dhaka,Bangladesh,False
2007-10-28,Tajikistan,Bangladesh,5,0,FIFA World Cup qualification,Dushanbe,Tajikistan,False
2007-11-09,Singapore,Tajikistan,2,0,FIFA World Cup qualification,Singapore,Singapore,False
2007-11-18,Tajikistan,Singapore,1,1,FIFA World Cup qualification,Dushanbe,Tajikistan,False
2007-12-16,Oman,Tajikistan,4,2,Friendly,Muscat,Oman,False
2008-05-13,Tajikistan,Bhutan,3,1,AFC Challenge Cup qualification,Barotac Nuevo,Philippines,True
2008-05-15,Philippines,Tajikistan,0,0,AFC Challenge Cup qualification,Iloilo City,Philippines,False
2008-05-17,Tajikistan,Brunei,4,0,AFC Challenge Cup qualification,Iloilo City,Philippines,True
2008-07-30,Turkmenistan,Tajikistan,0,0,AFC Challenge Cup,Hyderabad,India,True
2008-08-01,India,Tajikistan,1,1,AFC Challenge Cup,Hyderabad,India,False
2008-08-03,Afghanistan,Tajikistan,0,4,AFC Challenge Cup,Hyderabad,India,True
2008-08-07,North Korea,Tajikistan,0,1,AFC Challenge Cup,Hyderabad,India,True
2008-08-13,India,Tajikistan,4,1,AFC Challenge Cup,New Delhi,India,False
2008-08-20,Qatar,Tajikistan,5,0,Friendly,Doha,Qatar,False
2009-12-30,Yemen,Tajikistan,2,1,Friendly,Sana'a,Yemen,False
2010-01-02,Yemen,Tajikistan,0,1,Friendly,Sana'a,Yemen,False
2010-02-16,Tajikistan,Bangladesh,1,2,AFC Challenge Cup,Colombo,Sri Lanka,True
2010-02-18,Sri Lanka,Tajikistan,1,3,AFC Challenge Cup,Colombo,Sri Lanka,False
2010-02-20,Tajikistan,Myanmar,3,0,AFC Challenge Cup,Colombo,Sri Lanka,True
2010-02-24,Tajikistan,Turkmenistan,0,2,AFC Challenge Cup,Colombo,Sri Lanka,True
2010-02-27,Tajikistan,Myanmar,1,0,AFC Challenge Cup,Colombo,Sri Lanka,True
2010-06-26,China PR,Tajikistan,4,0,Friendly,Kunming,China PR,False
2010-11-17,Tajikistan,Afghanistan,1,0,Friendly,Dushanbe,Tajikistan,False
2011-03-21,Tajikistan,Kyrgyzstan,1,0,AFC Challenge Cup qualification,Malé,Maldives,True
2011-03-23,Cambodia,Tajikistan,0,3,AFC Challenge Cup qualification,Malé,Maldives,True
2011-03-25,Maldives,Tajikistan,0,0,AFC Challenge Cup qualification,Malé,Maldives,False
2011-03-27,Sri Lanka,Tajikistan,2,2,Friendly,Colombo,Sri Lanka,False
2011-03-29,Sri Lanka,Tajikistan,0,2,Friendly,Colombo,Sri Lanka,False
2011-07-23,Syria,Tajikistan,0,3,FIFA World Cup qualification,Amman,Jordan,True
2011-07-28,Tajikistan,Syria,3,0,FIFA World Cup qualification,Tursunzoda,Tajikistan,False
2011-09-02,Tajikistan,Uzbekistan,0,1,FIFA World Cup qualification,Tursunzoda,Tajikistan,False
2011-09-06,North Korea,Tajikistan,1,0,FIFA World Cup qualification,Pyongyang,North Korea,False
2011-10-11,Japan,Tajikistan,8,0,FIFA World Cup qualification,Osaka,Japan,False
2011-11-11,Tajikistan,Japan,0,4,FIFA World Cup qualification,Dushanbe,Tajikistan,False
2011-11-15,Uzbekistan,Tajikistan,3,0,FIFA World Cup qualification,Tashkent,Uzbekistan,False
2012-02-29,Tajikistan,North Korea,1,1,FIFA World Cup qualification,Xuçand,Tajikistan,False
2012-03-09,India,Tajikistan,0,2,AFC Challenge Cup,Kathmandu,Nepal,True
2012-03-11,Tajikistan,North Korea,0,2,AFC Challenge Cup,Kathmandu,Nepal,True
2012-03-13,Tajikistan,Philippines,1,2,AFC Challenge Cup,Kathmandu,Nepal,True
2012-09-06,Qatar,Tajikistan,1,2,Friendly,Ingolstadt,Germany,True
2012-11-06,Iran,Tajikistan,6,1,Friendly,Tehran,Iran,False
2013-03-17,Tajikistan,Pakistan,1,0,AFC Challenge Cup qualification,Bishkek,Kyrgyzstan,True
2013-03-19,Macau,Tajikistan,0,3,AFC Challenge Cup qualification,Bishkek,Kyrgyzstan,True
2013-03-21,Kyrgyzstan,Tajikistan,1,0,AFC Challenge Cup qualification,Bishkek,Kyrgyzstan,False
2013-06-04,Tajikistan,Afghanistan,3,2,Friendly,Qurghonteppa,Tajikistan,False
2013-08-14,Tajikistan,India,3,0,Friendly,Khujand,Tajikistan,False
2013-10-15,Kyrgyzstan,Tajikistan,1,4,Friendly,Bishkek,Kyrgyzstan,False
2014-06-07,Estonia,Tajikistan,2,1,Friendly,Tallinn,Estonia,False
