Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1966-04-02,Syria,Yemen,4,1,Arab Cup,Baghdad,Iraq,True
1966-04-04,Palestine,Yemen,7,0,Arab Cup,Baghdad,Iraq,True
1966-04-06,Libya,Yemen,13,0,Arab Cup,Kut,Iraq,True
1966-11-25,Palestine,Yemen,5,3,GaNEFo,Phnom Penh,Cambodia,True
1966-11-26,North Vietnam,Yemen,9,0,GaNEFo,Phnom Penh,Cambodia,True
1966-11-29,Cambodia,Yemen,8,0,GaNEFo,Phnom Penh,Cambodia,False
1966-11-30,North Korea,Yemen,14,0,GaNEFo,Phnom Penh,Cambodia,True
1966-12-06,China PR,Yemen,6,0,GaNEFo,Phnom Penh,Cambodia,True
1973-08-13,Iraq,Yemen,2,0,Palestine Cup,Benghazi,Libya,True
1973-08-14,Libya,Yemen,10,0,Palestine Cup,Benghazi,Libya,False
1973-08-16,Yemen,United Arab Emirates,1,1,Palestine Cup,Benghazi,Libya,True
1973-08-17,Algeria,Yemen,15,1,Palestine Cup,Benghazi,Libya,True
1974-09-28,Yemen,Sudan,0,6,Kuneitra Cup,Damascus,Syria,True
1974-09-30,Libya,Yemen,9,1,Kuneitra Cup,Damascus,Syria,True
1974-10-04,Syria,Yemen,6,0,Kuneitra Cup,Damascus,Syria,False
1974-10-06,Palestine,Yemen,7,1,Kuneitra Cup,Damascus,Syria,True
1984-10-10,South Korea,Yemen,6,0,AFC Asian Cup qualification,Calcutta,India,True
1984-10-12,India,Yemen,4,0,AFC Asian Cup qualification,Calcutta,India,False
1984-10-15,Pakistan,Yemen,4,1,AFC Asian Cup qualification,Calcutta,India,True
1984-10-18,Malaysia,Yemen,4,1,AFC Asian Cup qualification,Calcutta,India,True
1985-03-29,Yemen,Syria,0,1,FIFA World Cup qualification,Sana'a,Yemen AR,True
1985-04-05,Kuwait,Yemen,5,0,FIFA World Cup qualification,Kuwait City,Kuwait,False
1985-04-19,Syria,Yemen,3,0,FIFA World Cup qualification,Damascus,Syria,False
1985-04-26,Yemen,Kuwait,1,3,FIFA World Cup qualification,Sana'a,Yemen AR,True
1985-10-15,Yemen,Mexico,0,2,Friendly,Sana'a,Yemen AR,True
1988-02-05,China PR,Yemen,0,0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1988-02-07,United Arab Emirates,Yemen,2,1,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,False
1988-02-11,Yemen,India,1,0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1988-02-14,Yemen,Bangladesh,0,0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1988-02-16,Yemen,Thailand,3,3,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1989-03-10,Yemen,Syria,0,1,FIFA World Cup qualification,Sana'a,Yemen AR,True
1989-03-20,Yemen,Saudi Arabia,0,1,FIFA World Cup qualification,Sana'a,Yemen AR,True
1989-03-25,Syria,Yemen,2,0,FIFA World Cup qualification,Latakia,Syria,False
1989-04-05,Saudi Arabia,Yemen,1,0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False
1990-09-08,Malaysia,Yemen,0,1,Friendly,Kuala Lumpur,Malaysia,False
1990-09-23,Yemen,Thailand,0,0,Asian Games,Beijing,China PR,True
1990-09-25,Yemen,Kuwait,0,0,Asian Games,Beijing,China PR,True
1990-09-27,Hong Kong,Yemen,2,0,Asian Games,Beijing,China PR,True
1993-05-22,Jordan,Yemen,1,1,FIFA World Cup qualification,Irbid,Jordan,False
1993-05-24,Yemen,Pakistan,5,1,FIFA World Cup qualification,Irbid,Jordan,True
1993-05-26,Yemen,Iraq,1,6,FIFA World Cup qualification,Irbid,Jordan,True
1993-05-28,Yemen,China PR,1,0,FIFA World Cup qualification,Irbid,Jordan,True
1993-06-12,Yemen,Jordan,1,1,FIFA World Cup qualification,Chengdu,China PR,True
1993-06-14,Pakistan,Yemen,0,3,FIFA World Cup qualification,Chengdu,China PR,True
1993-06-16,Iraq,Yemen,3,0,FIFA World Cup qualification,Chengdu,China PR,True
1993-06-18,China PR,Yemen,1,0,FIFA World Cup qualification,Chengdu,China PR,False
1994-09-14,India,Yemen,0,1,Friendly,Doha,Qatar,True
1994-09-16,Qatar,Yemen,2,0,Friendly,Doha,Qatar,False
1994-09-18,India,Yemen,0,2,Friendly,Doha,Qatar,True
1994-10-01,Yemen,Bahrain,0,2,Asian Games,Hiroshima,Japan,True
1994-10-03,China PR,Yemen,4,0,Asian Games,Hiroshima,Japan,True
1994-10-07,Yemen,Turkmenistan,0,4,Asian Games,Hiroshima,Japan,True
1994-10-09,Iran,Yemen,4,0,Asian Games,Miyoshi,Japan,True
1996-01-26,Yemen,Kyrgyzstan,1,0,AFC Asian Cup qualification,Riyadh,Saudi Arabia,True
1996-01-28,Saudi Arabia,Yemen,4,0,AFC Asian Cup qualification,Riyadh,Saudi Arabia,False
1996-02-02,Kyrgyzstan,Yemen,3,1,AFC Asian Cup qualification,Riyadh,Saudi Arabia,True
1996-02-04,Saudi Arabia,Yemen,1,0,AFC Asian Cup qualification,Riyadh,Saudi Arabia,False
1997-04-13,Indonesia,Yemen,0,0,FIFA World Cup qualification,Jakarta,Indonesia,False
1997-04-20,Cambodia,Yemen,0,1,FIFA World Cup qualification,Phnom Penh,Cambodia,False
1997-05-09,Yemen,Uzbekistan,0,1,FIFA World Cup qualification,Sana'a,Yemen,False
1997-05-16,Yemen,Cambodia,7,0,FIFA World Cup qualification,Sana'a,Yemen,False
1997-06-13,Yemen,Indonesia,1,1,FIFA World Cup qualification,Sana'a,Yemen,False
1997-08-24,Uzbekistan,Yemen,5,1,FIFA World Cup qualification,Tashkent,Uzbekistan,False
2000-02-10,Nepal,Yemen,0,3,AFC Asian Cup qualification,Kuwait City,Kuwait,True
2000-02-12,Yemen,Turkmenistan,0,1,AFC Asian Cup qualification,Kuwait City,Kuwait,True
2000-02-16,Kuwait,Yemen,2,0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
2000-02-18,Yemen,Bhutan,11,2,AFC Asian Cup qualification,Kuwait City,Kuwait,True
2000-10-29,Oman,Yemen,4,0,Friendly,Muscat,Oman,False
2000-10-31,Oman,Yemen,4,0,Friendly,Muscat,Oman,False
2001-04-07,Brunei,Yemen,0,5,FIFA World Cup qualification,Bandar Seri Begawan,Brunei,False
2001-04-15,India,Yemen,1,1,FIFA World Cup qualification,Bangalore,India,False
2001-04-27,Yemen,Brunei,1,0,FIFA World Cup qualification,Sana'a,Yemen,False
2001-05-04,Yemen,India,3,3,FIFA World Cup qualification,Sana'a,Yemen,False
2001-05-11,Yemen,United Arab Emirates,2,1,FIFA World Cup qualification,Sana'a,Yemen,False
2001-05-18,United Arab Emirates,Yemen,3,2,FIFA World Cup qualification,Al Ain,United Arab Emirates,False
2002-04-10,Yemen,Ethiopia,1,1,Friendly,Sana'a,Yemen,False
2002-12-17,Yemen,Syria,0,4,Arab Cup,Kuwait City,Kuwait,True
2002-12-21,Bahrain,Yemen,3,1,Arab Cup,Kuwait City,Kuwait,True
2002-12-24,Lebanon,Yemen,4,2,Arab Cup,Kuwait City,Kuwait,True
2002-12-26,Yemen,Saudi Arabia,2,2,Arab Cup,Kuwait City,Kuwait,True
2003-09-17,Yemen,Sudan,3,2,Friendly,Sana'a,Yemen,False
2003-09-19,Yemen,Sudan,1,2,Friendly,Sana'a,Yemen,False
2003-09-27,Syria,Yemen,8,2,Friendly,Jeddah,Saudi Arabia,True
2003-10-06,Saudi Arabia,Yemen,7,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False
2003-10-08,Yemen,Indonesia,0,3,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
2003-10-10,Bhutan,Yemen,0,8,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
2003-10-13,Saudi Arabia,Yemen,3,1,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False
2003-10-15,Indonesia,Yemen,2,2,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
2003-10-17,Yemen,Bhutan,4,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
2003-12-28,Yemen,Oman,1,1,Gulf Cup,Kuwait City,Kuwait,True
2003-12-30,Bahrain,Yemen,5,1,Gulf Cup,Kuwait City,Kuwait,True
2004-01-01,Kuwait,Yemen,4,0,Gulf Cup,Kuwait City,Kuwait,False
