Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1968-05-01,Eswatini,Malawi,2,0,Friendly,Mbabane,Swaziland,False
1968-07-20,Eswatini,Malawi,2,0,Friendly,Mbabane,Swaziland,False
1969-07-06,Malawi,Eswatini,3,0,Friendly,Blantyre,Malawi,False
1973-08-06,Eswatini,Malawi,0,1,Friendly,Mbabane,Swaziland,False
1975-12-20,Malawi,Eswatini,2,0,Friendly,Blantyre,Malawi,False
1975-12-22,Malawi,Eswatini,0,0,Friendly,Blantyre,Malawi,False
1978-02-05,Zambia,Eswatini,11,2,Friendly,Lusaka,Zambia,False
1978-09-06,Eswatini,Zambia,1,6,Friendly,Lobamba,Swaziland,False
1978-09-07,Eswatini,Zambia,2,5,Friendly,Lobamba,Swaziland,False
1981-04-18,Eswatini,Zambia,1,6,Friendly,Bulawayo,Zimbabwe,True
1981-09-04,Eswatini,Lesotho,1,1,Friendly,Mbabane,Swaziland,False
1981-09-05,Eswatini,Zimbabwe,0,2,Friendly,Mbabane,Swaziland,False
1981-09-06,Eswatini,Malawi,0,0,Friendly,Mbabane,Swaziland,False
1984-07-01,Eswatini,Lesotho,3,1,Friendly,Lobamba,Swaziland,False
1984-10-14,Zimbabwe,Eswatini,3,0,African Cup of Nations qualification,Bulawayo,Zimbabwe,False
1984-11-04,Eswatini,Zimbabwe,1,5,African Cup of Nations qualification,Mbabane,Swaziland,False
1986-04-26,Eswatini,Botswana,0,1,Friendly,Mbabane,Swaziland,False
1988-10-01,Tanzania,Eswatini,1,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
1988-10-16,Eswatini,Tanzania,1,1,African Cup of Nations qualification,Mbabane,Swaziland,False
1989-04-09,Eswatini,Malawi,0,2,African Cup of Nations qualification,Mbabane,Swaziland,False
1989-04-23,Malawi,Eswatini,1,1,African Cup of Nations qualification,Blantyre,Malawi,False
1990-01-20,Eswatini,Botswana,3,1,Friendly,Lobamba,Swaziland,False
1990-01-21,Eswatini,Tanzania,0,1,Friendly,Lobamba,Swaziland,False
1990-05-18,Zimbabwe,Eswatini,4,4,Friendly,Harare,Zimbabwe,False
1990-08-12,Eswatini,Mozambique,0,0,Friendly,Mbabane,Swaziland,False
1990-08-19,Zambia,Eswatini,5,0,African Cup of Nations qualification,Lusaka,Zambia,False
1990-08-25,Botswana,Eswatini,3,2,Friendly,Gaborone,Botswana,False
1990-09-01,Eswatini,Angola,1,1,African Cup of Nations qualification,Lobamba,Swaziland,False
1991-04-14,Eswatini,Madagascar,0,1,African Cup of Nations qualification,Mbabane,Swaziland,False
1991-04-28,Eswatini,Zambia,2,1,African Cup of Nations qualification,Mbabane,Swaziland,False
1991-06-22,Mozambique,Eswatini,2,1,Friendly,Maputo,Mozambique,False
1991-07-15,Angola,Eswatini,1,1,African Cup of Nations qualification,Luanda,Angola,False
1991-09-21,Botswana,Eswatini,2,1,Friendly,Gaborone,Botswana,False
1992-06-20,Mozambique,Eswatini,4,1,Friendly,Maputo,Mozambique,False
1992-10-18,Cameroon,Eswatini,5,0,FIFA World Cup qualification,Yaoundé,Cameroon,False
1992-10-25,Eswatini,DR Congo,1,0,FIFA World Cup qualification,Manzini,Swaziland,False
1993-01-17,Eswatini,Cameroon,0,0,FIFA World Cup qualification,Mbabane,Swaziland,False
1993-07-06,Malawi,Eswatini,3,1,Friendly,Blantyre,Malawi,False
1993-07-08,Malawi,Eswatini,1,1,Friendly,Lilongwe,Malawi,False
1993-07-10,Malawi,Eswatini,0,1,Friendly,Mzuzu,Malawi,False
1993-07-29,Malawi,Eswatini,3,0,Friendly,Blantyre,Malawi,False
1993-08-08,Zimbabwe,Eswatini,2,0,Friendly,Harare,Zimbabwe,False
1993-09-06,Eswatini,Zimbabwe,0,1,Friendly,Mbabane,Swaziland,False
1994-04-22,Eswatini,Mozambique,0,1,Friendly,Mbabane,Swaziland,False
1996-05-12,Eswatini,Mozambique,0,1,Friendly,Mbabane,Swaziland,False
1996-06-02,Eswatini,Gabon,0,1,FIFA World Cup qualification,Mbabane,Swaziland,False
1996-06-16,Gabon,Eswatini,2,0,FIFA World Cup qualification,Libreville,Gabon,False
1997-01-26,Eswatini,Lesotho,3,1,Friendly,Lobamba,Swaziland,False
1997-02-21,Botswana,Eswatini,0,0,Friendly,Gaborone,Botswana,False
1997-03-03,Eswatini,Mozambique,0,4,COSAFA Cup qualification,Lobamba,Swaziland,False
1997-11-02,Eswatini,Mauritius,0,1,Friendly,Mbabane,Swaziland,False
1997-12-18,Lesotho,Eswatini,0,0,Friendly,Maseru,Lesotho,False
1997-12-28,Lesotho,Eswatini,0,0,Friendly,Maseru,Lesotho,False
1998-01-10,Eswatini,Botswana,1,1,Friendly,Mbabane,Swaziland,False
1998-03-08,Eswatini,Angola,0,1,COSAFA Cup qualification,Lobamba,Swaziland,False
1998-08-02,Eswatini,Madagascar,1,2,African Cup of Nations qualification,Mbabane,Swaziland,False
1998-08-23,Madagascar,Eswatini,1,1,African Cup of Nations qualification,Antananarivo,Madagascar,False
1998-09-06,Eswatini,Ghana,0,1,Friendly,Mbabane,Swaziland,False
1999-04-03,Eswatini,Namibia,1,1,Friendly,Mbabane,Swaziland,False
1999-04-25,Eswatini,Lesotho,4,1,Friendly,Lobamba,Swaziland,False
1999-05-09,Eswatini,Mozambique,3,1,COSAFA Cup qualification,Lobamba,Swaziland,False
1999-05-16,Eswatini,Botswana,2,1,Friendly,Lobamba,Swaziland,False
1999-07-18,Eswatini,Zimbabwe,1,1,COSAFA Cup,Lobamba,Swaziland,False
1999-08-15,Lesotho,Eswatini,0,3,Friendly,Maseru,Lesotho,False
1999-08-28,Namibia,Eswatini,1,1,COSAFA Cup,Windhoek,Namibia,False
2000-02-20,Lesotho,Eswatini,1,0,Friendly,Maseru,Lesotho,False
2000-03-19,Botswana,Eswatini,3,0,Friendly,Gaborone,Botswana,False
2000-04-09,Eswatini,Angola,0,1,FIFA World Cup qualification,Lobamba,Swaziland,False
2000-04-23,Angola,Eswatini,7,1,FIFA World Cup qualification,Luanda,Angola,False
2000-06-01,Eswatini,Lesotho,0,1,Friendly,Lobamba,Swaziland,False
2000-06-02,Eswatini,Botswana,0,0,Friendly,Mbabane,Swaziland,False
2000-06-04,Eswatini,Mozambique,1,1,Friendly,Mbabane,Swaziland,False
2000-06-18,South Africa,Eswatini,2,0,COSAFA Cup,Witbank,South Africa,False
2000-07-02,Eswatini,Kenya,3,2,African Cup of Nations qualification,Mbabane,Swaziland,False
2000-07-15,Kenya,Eswatini,3,0,African Cup of Nations qualification,Nairobi,Kenya,False
2001-01-06,Eswatini,Angola,1,0,Friendly,Manzini,Swaziland,False
2001-01-07,Eswatini,Namibia,2,1,Friendly,Manzini,Swaziland,False
2001-01-09,Eswatini,Lesotho,2,2,Friendly,Manzini,Swaziland,False
2001-01-27,Botswana,Eswatini,1,2,Friendly,Gaborone,Botswana,False
2001-02-11,Eswatini,Zambia,0,0,COSAFA Cup,Lobamba,Swaziland,False
2001-03-10,Botswana,Eswatini,1,0,Friendly,Maseru,Lesotho,True
2001-03-11,Lesotho,Eswatini,2,1,Friendly,Maseru,Lesotho,False
2001-05-20,Lesotho,Eswatini,1,0,Friendly,Maseru,Lesotho,False
2001-07-01,Malawi,Eswatini,2,2,Friendly,Lilongwe,Malawi,False
2001-07-08,Zimbabwe,Eswatini,2,1,COSAFA Cup,Harare,Zimbabwe,False
2002-03-02,Botswana,Eswatini,6,2,Friendly,Gaborone,Botswana,False
2002-03-10,Eswatini,Lesotho,1,0,Friendly,Mbabane,Swaziland,False
2002-03-30,Eswatini,Mozambique,1,2,Friendly,Mhlume,Swaziland,False
2002-03-31,Eswatini,Mozambique,1,1,Friendly,Big Bend,Swaziland,False
2002-04-21,Eswatini,Namibia,2,1,COSAFA Cup,Lobamba,Swaziland,False
2002-05-05,Zimbabwe,Eswatini,0,2,COSAFA Cup,Harare,Zimbabwe,False
2002-08-01,Eswatini,Mauritius,0,1,Friendly,Mbabane,Swaziland,False
2002-08-03,Eswatini,Mauritius,0,0,Friendly,Big Bend,Swaziland,False
2002-08-24,South Africa,Eswatini,4,1,COSAFA Cup,Polokwane,South Africa,False
2002-09-07,Botswana,Eswatini,0,0,African Cup of Nations qualification,Gaborone,Botswana,False
2002-10-06,Eswatini,Lesotho,0,0,Friendly,Big Bend,Swaziland,False
2002-10-13,Eswatini,Libya,2,1,African Cup of Nations qualification,Lobamba,Swaziland,False
2003-03-19,Eswatini,Lesotho,1,0,Friendly,Lobamba,Swaziland,False
2003-03-30,Eswatini,DR Congo,1,1,African Cup of Nations qualification,Lobamba,Swaziland,False
2003-05-25,Lesotho,Eswatini,2,1,Friendly,Maseru,Lesotho,False
2003-06-08,DR Congo,Eswatini,2,0,African Cup of Nations qualification,Kinshasa,DR Congo,False
2003-06-22,Eswatini,Botswana,3,2,African Cup of Nations qualification,Lobamba,Swaziland,False
2003-07-05,Libya,Eswatini,6,2,African Cup of Nations qualification,Tripoli,Libya,False
2003-07-13,Eswatini,Madagascar,2,0,COSAFA Cup,Lobamba,Swaziland,False
2003-08-31,Zimbabwe,Eswatini,2,0,COSAFA Cup,Bulawayo,Zimbabwe,False
2003-09-06,Eswatini,Botswana,0,3,Friendly,Mbabane,Swaziland,False
2003-10-04,Lesotho,Eswatini,5,2,Friendly,Maseru,Lesotho,False
2003-10-12,Eswatini,Cape Verde,1,1,FIFA World Cup qualification,Lobamba,Swaziland,False
2003-11-09,Mozambique,Eswatini,2,0,Friendly,Maputo,Mozambique,False
2003-11-16,Cape Verde,Eswatini,3,0,FIFA World Cup qualification,Praia,Cape Verde,False
2004-04-11,Mozambique,Eswatini,2,0,Friendly,Maputo,Mozambique,False
2004-05-31,Mozambique,Eswatini,1,1,Friendly,Maputo,Mozambique,False
2004-06-27,Eswatini,Zimbabwe,0,5,COSAFA Cup,Lobamba,Swaziland,False
2004-07-06,Malawi,Eswatini,1,2,Friendly,Blantyre,Malawi,False
2004-07-08,Malawi,Eswatini,1,1,Friendly,Lilongwe,Malawi,False
2005-06-01,Lesotho,Eswatini,3,4,Friendly,Maseru,Lesotho,False
2005-06-11,Zambia,Eswatini,3,0,COSAFA Cup,Lusaka,Zambia,False
2006-04-14,Lesotho,Eswatini,5,0,Friendly,Maseru,Lesotho,False
2006-04-16,Lesotho,Eswatini,2,2,Friendly,Maseru,Lesotho,False
2006-05-20,South Africa,Eswatini,1,0,COSAFA Cup,Gaborone,Botswana,True
2006-05-21,Madagascar,Eswatini,0,2,COSAFA Cup,Gaborone,Botswana,True
2006-06-24,Mozambique,Eswatini,4,0,Friendly,Maputo,Mozambique,False
2006-06-25,Eswatini,Zimbabwe,1,2,Friendly,Maputo,Mozambique,True
2006-08-26,Eswatini,Lesotho,3,1,Friendly,Lobamba,Swaziland,False
2006-09-03,Eswatini,Angola,0,2,African Cup of Nations qualification,Lobamba,Swaziland,False
2006-10-04,Ethiopia,Eswatini,2,0,Friendly,Addis Ababa,Ethiopia,False
2006-10-07,Eritrea,Eswatini,0,0,African Cup of Nations qualification,Asmara,Eritrea,False
2006-11-15,Botswana,Eswatini,1,0,Friendly,Gaborone,Botswana,False
2007-02-13,Lesotho,Eswatini,0,1,Friendly,Maseru,Lesotho,False
2007-03-18,Eswatini,Lesotho,0,1,Friendly,Lobamba,Swaziland,False
2007-03-25,Kenya,Eswatini,2,0,African Cup of Nations qualification,Nairobi,Kenya,False
2007-05-26,Eswatini,Mauritius,0,0,COSAFA Cup,Lobamba,Swaziland,False
2007-05-27,Eswatini,Malawi,1,0,COSAFA Cup,Lobamba,Swaziland,False
2007-06-03,Eswatini,Kenya,0,0,African Cup of Nations qualification,Lobamba,Swaziland,False
2007-06-17,Angola,Eswatini,3,0,African Cup of Nations qualification,Luanda,Angola,False
2007-09-09,Eswatini,Eritrea,0,0,African Cup of Nations qualification,Manzini,Swaziland,False
2007-11-18,Eswatini,Malawi,0,3,Friendly,Manzini,Swaziland,False
2008-02-09,Eswatini,Botswana,1,4,Friendly,Lobamba,Swaziland,False
2008-02-10,Eswatini,Lesotho,2,2,Friendly,Lobamba,Swaziland,False
2008-05-23,Eswatini,Lesotho,1,1,Friendly,Lobamba,Swaziland,False
2008-06-08,Eswatini,Togo,2,1,FIFA World Cup qualification,Lobamba,Swaziland,False
2008-06-15,Eswatini,Zambia,0,0,FIFA World Cup qualification,Lobamba,Swaziland,False
2008-06-21,Zambia,Eswatini,1,0,FIFA World Cup qualification,Chililabombwe,Zambia,False
2008-07-19,Madagascar,Eswatini,1,1,COSAFA Cup qualification,Witbank,South Africa,True
2008-07-21,Mauritius,Eswatini,1,1,COSAFA Cup qualification,Witbank,South Africa,True
2008-07-23,Seychelles,Eswatini,0,1,COSAFA Cup qualification,Witbank,South Africa,True
2008-08-20,Mozambique,Eswatini,3,0,Friendly,Maputo,Mozambique,False
2008-10-11,Togo,Eswatini,6,0,FIFA World Cup qualification,Accra,Ghana,True
2009-06-19,Eswatini,Lesotho,1,1,Friendly,Manzini,Swaziland,False
2009-06-21,Eswatini,Lesotho,1,1,Friendly,Lobamba,Swaziland,False
2009-07-06,Malawi,Eswatini,3,1,Friendly,Blantyre,Malawi,False
2009-08-12,Mozambique,Eswatini,1,0,Friendly,Maputo,Mozambique,False
2009-09-05,Namibia,Eswatini,1,1,Friendly,Windhoek,Namibia,False
2009-10-18,Eswatini,Seychelles,2,1,COSAFA Cup,Bulawayo,Zimbabwe,True
2009-10-20,Botswana,Eswatini,1,0,COSAFA Cup,Bulawayo,Zimbabwe,True
2009-10-22,Eswatini,Comoros,3,0,COSAFA Cup,Bulawayo,Zimbabwe,True
2010-08-11,Mozambique,Eswatini,2,1,Friendly,Maputo,Mozambique,False
2010-09-05,Eswatini,Ghana,0,3,African Cup of Nations qualification,Lobamba,Swaziland,False
2010-10-10,Congo,Eswatini,3,1,African Cup of Nations qualification,Brazzaville,Congo,False
2010-10-27,Botswana,Eswatini,2,0,Friendly,Lobatse,Botswana,False
2011-02-09,Eswatini,Zambia,0,4,Friendly,Manzini,Swaziland,False
2011-03-27,Sudan,Eswatini,3,0,African Cup of Nations qualification,Omdurman,Sudan,False
2011-05-25,Eswatini,Botswana,0,0,Friendly,Manzini,Swaziland,False
2011-05-29,Eswatini,Malawi,1,1,Friendly,Mhlume,Swaziland,False
2011-06-05,Eswatini,Sudan,1,2,African Cup of Nations qualification,Lobamba,Swaziland,False
2011-07-31,Eswatini,Botswana,0,2,Friendly,Pretoria,South Africa,True
2011-08-20,Lesotho,Eswatini,0,0,Friendly,Maseru,Lesotho,False
2011-08-22,Lesotho,Eswatini,0,1,Friendly,Maseru,Lesotho,False
