Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1946-08-22,Albania,Montenegro,5,0,Friendly,Shkodër,Albania,False
1966-04-01,Montenegro,Russia,0,1,Friendly,Titograd,Yugoslavia,False
1976-02-07,Montenegro,Russia,2,1,Friendly,Podgorica,Yugoslavia,False
2007-03-24,Montenegro,Hungary,2,1,Friendly,Podgorica,Montenegro,False
2007-06-01,Japan,Montenegro,2,0,Kirin Cup,Fukuroi,Japan,False
2007-06-03,Colombia,Montenegro,1,0,Kirin Cup,Matsumoto,Japan,True
2007-08-22,Montenegro,Slovenia,1,1,Friendly,Podgorica,Montenegro,False
2007-09-12,Montenegro,Sweden,1,2,Friendly,Podgorica,Montenegro,False
2007-10-17,Estonia,Montenegro,0,1,Friendly,Tallinn,Estonia,False
2008-03-26,Montenegro,Norway,3,1,Friendly,Podgorica,Montenegro,False
2008-05-27,Montenegro,Kazakhstan,3,0,Friendly,Podgorica,Montenegro,False
2008-05-31,Romania,Montenegro,4,0,Friendly,Bucharest,Romania,False
2008-08-20,Hungary,Montenegro,3,3,Friendly,Budapest,Hungary,False
2008-09-06,Montenegro,Bulgaria,2,2,FIFA World Cup qualification,Podgorica,Montenegro,False
2008-09-10,Montenegro,Republic of Ireland,0,0,FIFA World Cup qualification,Podgorica,Montenegro,False
2008-10-15,Italy,Montenegro,2,1,FIFA World Cup qualification,Lecce,Italy,False
2008-11-19,Montenegro,North Macedonia,2,1,Friendly,Podgorica,Montenegro,False
2009-03-28,Montenegro,Italy,0,2,FIFA World Cup qualification,Podgorica,Montenegro,False
2009-04-01,Georgia,Montenegro,0,0,FIFA World Cup qualification,Tbilisi,Georgia,False
2009-06-06,Cyprus,Montenegro,2,2,FIFA World Cup qualification,Larnaca,Cyprus,False
2009-08-12,Montenegro,Wales,2,1,Friendly,Podgorica,Montenegro,False
2009-09-05,Bulgaria,Montenegro,4,1,FIFA World Cup qualification,Sofia,Bulgaria,False
2009-09-09,Montenegro,Cyprus,1,1,FIFA World Cup qualification,Podgorica,Montenegro,False
2009-10-10,Montenegro,Georgia,2,1,FIFA World Cup qualification,Podgorica,Montenegro,False
2009-10-14,Republic of Ireland,Montenegro,0,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False
2009-11-18,Montenegro,Belarus,1,0,Friendly,Podgorica,Montenegro,False
2010-03-03,North Macedonia,Montenegro,2,1,Friendly,Skopje,North Macedonia,False
2010-05-25,Montenegro,Albania,0,1,Friendly,Podgorica,Montenegro,False
2010-05-29,Norway,Montenegro,2,1,Friendly,Oslo,Norway,False
2010-08-11,Montenegro,Northern Ireland,2,0,Friendly,Podgorica,Montenegro,False
2010-09-03,Montenegro,Wales,1,0,UEFA Euro qualification,Podgorica,Montenegro,False
2010-09-07,Bulgaria,Montenegro,0,1,UEFA Euro qualification,Sofia,Bulgaria,False
2010-10-08,Montenegro,Switzerland,1,0,UEFA Euro qualification,Podgorica,Montenegro,False
2010-10-12,England,Montenegro,0,0,UEFA Euro qualification,London,England,False
2010-11-17,Montenegro,Azerbaijan,2,0,Friendly,Podgorica,Montenegro,False
2011-03-25,Montenegro,Uzbekistan,1,0,Friendly,Podgorica,Montenegro,False
2011-06-04,Montenegro,Bulgaria,1,1,UEFA Euro qualification,Podgorica,Montenegro,False
2011-08-10,Albania,Montenegro,3,2,Friendly,Shkodër,Albania,False
2011-09-02,Wales,Montenegro,2,1,UEFA Euro qualification,Cardiff,Wales,False
2011-10-07,Montenegro,England,2,2,UEFA Euro qualification,Podgorica,Montenegro,False
2011-10-11,Switzerland,Montenegro,2,0,UEFA Euro qualification,Basel,Switzerland,False
2011-11-11,Czech Republic,Montenegro,2,0,UEFA Euro qualification,Prague,Czech Republic,False
2011-11-15,Montenegro,Czech Republic,0,1,UEFA Euro qualification,Podgorica,Montenegro,False
2012-02-29,Montenegro,Iceland,2,1,Friendly,Podgorica,Montenegro,False
2012-05-25,Belgium,Montenegro,2,2,Friendly,Brussels,Belgium,False
2012-08-15,Montenegro,Latvia,2,0,Friendly,Podgorica,Montenegro,False
2012-09-07,Montenegro,Poland,2,2,FIFA World Cup qualification,Podgorica,Montenegro,False
2012-09-11,San Marino,Montenegro,0,6,FIFA World Cup qualification,Serravalle,San Marino,False
2012-10-16,Ukraine,Montenegro,0,1,FIFA World Cup qualification,Kyiv,Ukraine,False
2012-11-14,Montenegro,San Marino,3,0,FIFA World Cup qualification,Podgorica,Montenegro,False
2013-03-22,Moldova,Montenegro,0,1,FIFA World Cup qualification,Chișinău,Moldova,False
2013-03-26,Montenegro,England,1,1,FIFA World Cup qualification,Podgorica,Montenegro,False
2013-06-07,Montenegro,Ukraine,0,4,FIFA World Cup qualification,Podgorica,Montenegro,False
2013-08-14,Belarus,Montenegro,1,1,Friendly,Zhodzina,Belarus,False
2013-09-06,Poland,Montenegro,1,1,FIFA World Cup qualification,Warsaw,Poland,False
2013-10-11,England,Montenegro,4,1,FIFA World Cup qualification,London,England,False
2013-10-15,Montenegro,Moldova,2,5,FIFA World Cup qualification,Podgorica,Montenegro,False
2013-11-17,Luxembourg,Montenegro,1,4,Friendly,Luxembourg,Luxembourg,False
2014-03-05,Montenegro,Ghana,1,0,Friendly,Podgorica,Montenegro,False
2014-05-23,Slovakia,Montenegro,2,0,Friendly,Senec,Slovakia,False
2014-05-26,Montenegro,Iran,0,0,Friendly,Hartberg,Austria,True
2014-09-08,Montenegro,Moldova,2,0,UEFA Euro qualification,Podgorica,Montenegro,False
2014-10-09,Liechtenstein,Montenegro,0,0,UEFA Euro qualification,Vaduz,Liechtenstein,False
2014-10-12,Austria,Montenegro,1,0,UEFA Euro qualification,Vienna,Austria,False
2014-11-15,Montenegro,Sweden,1,1,UEFA Euro qualification,Podgorica,Montenegro,False
2015-06-08,Denmark,Montenegro,2,1,Friendly,Viborg,Denmark,False
2015-06-14,Sweden,Montenegro,3,1,UEFA Euro qualification,Solna,Sweden,False
2015-09-05,Montenegro,Liechtenstein,2,0,UEFA Euro qualification,Podgorica,Montenegro,False
