Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1928-08-19,Belarus,Ukraine,2,6,Friendly,Moscow,Soviet Union,True
1979-07-28,Lithuania,Ukraine,0,2,Friendly,Moscow,Soviet Union,True
1979-07-30,Belarus,Ukraine,0,0,Friendly,Moscow,Soviet Union,True
1992-04-29,Ukraine,Hungary,1,3,Friendly,Uzhhorod,Ukraine,False
1992-06-27,United States,Ukraine,0,0,Friendly,Piscataway,United States,False
1992-08-26,Hungary,Ukraine,2,1,Friendly,Nyíregyháza,Hungary,False
1992-10-28,Belarus,Ukraine,1,1,Friendly,Minsk,Belarus,False
1993-04-27,Ukraine,Israel,1,1,Friendly,Odessa,Ukraine,False
1993-05-18,Lithuania,Ukraine,1,2,Friendly,Vilnius,Lithuania,False
1993-06-25,Croatia,Ukraine,3,1,Friendly,Zagreb,Croatia,False
1993-10-16,United States,Ukraine,1,2,Friendly,High Point,United States,False
1993-10-20,Mexico,Ukraine,2,1,Friendly,San Diego,United States,True
1993-10-23,United States,Ukraine,0,1,Friendly,Bethlehem,United States,False
1994-03-15,Israel,Ukraine,1,0,Friendly,Haifa,Israel,False
1994-05-25,Ukraine,Belarus,3,1,Friendly,Kyiv,Ukraine,False
1994-06-03,Bulgaria,Ukraine,1,1,Friendly,Sofia,Bulgaria,False
1994-08-26,Ukraine,United Arab Emirates,1,1,Friendly,Grassau,Austria,True
1994-09-07,Ukraine,Lithuania,0,2,UEFA Euro qualification,Kyiv,Ukraine,False
1994-09-11,South Korea,Ukraine,1,0,Friendly,Gangneung,South Korea,False
1994-09-13,South Korea,Ukraine,2,0,Friendly,Seoul,South Korea,False
1994-10-12,Ukraine,Slovenia,0,0,UEFA Euro qualification,Kyiv,Ukraine,False
1994-11-13,Ukraine,Estonia,3,0,UEFA Euro qualification,Kyiv,Ukraine,False
1995-03-25,Croatia,Ukraine,4,0,UEFA Euro qualification,Zagreb,Croatia,False
1995-03-29,Ukraine,Italy,0,2,UEFA Euro qualification,Kyiv,Ukraine,False
1995-04-26,Estonia,Ukraine,0,1,UEFA Euro qualification,Tallinn,Estonia,False
1995-06-11,Ukraine,Croatia,1,0,UEFA Euro qualification,Kyiv,Ukraine,False
1995-09-06,Lithuania,Ukraine,1,3,UEFA Euro qualification,Vilnius,Lithuania,False
1995-10-11,Slovenia,Ukraine,3,2,UEFA Euro qualification,Ljubljana,Slovenia,False
1995-11-11,Italy,Ukraine,3,1,UEFA Euro qualification,Bari,Italy,False
1996-04-09,Moldova,Ukraine,2,2,Friendly,Chișinău,Moldova,False
1996-05-01,Turkey,Ukraine,3,2,Friendly,Samsun,Turkey,False
1996-08-13,Ukraine,Lithuania,5,2,Friendly,Kyiv,Ukraine,False
1996-08-31,Northern Ireland,Ukraine,0,1,FIFA World Cup qualification,Belfast,Northern Ireland,False
1996-10-05,Ukraine,Portugal,2,1,FIFA World Cup qualification,Kyiv,Ukraine,False
1996-11-09,Portugal,Ukraine,1,0,FIFA World Cup qualification,Porto,Portugal,False
1997-03-29,Albania,Ukraine,0,1,FIFA World Cup qualification,Granada,Spain,True
1997-04-02,Ukraine,Northern Ireland,2,1,FIFA World Cup qualification,Kyiv,Ukraine,False
1997-04-30,Germany,Ukraine,2,0,FIFA World Cup qualification,Bremen,Germany,False
1997-05-07,Ukraine,Armenia,1,1,FIFA World Cup qualification,Kyiv,Ukraine,False
1997-06-07,Ukraine,Germany,0,0,FIFA World Cup qualification,Kyiv,Ukraine,False
1997-08-20,Ukraine,Albania,1,0,FIFA World Cup qualification,Kyiv,Ukraine,False
1997-10-11,Armenia,Ukraine,0,2,FIFA World Cup qualification,Yerevan,Armenia,False
1997-10-29,Croatia,Ukraine,2,0,FIFA World Cup qualification,Zagreb,Croatia,False
1997-11-15,Ukraine,Croatia,1,1,FIFA World Cup qualification,Kyiv,Ukraine,False
1998-07-15,Ukraine,Poland,1,2,Friendly,Kyiv,Ukraine,False
1998-08-19,Ukraine,Georgia,4,0,Friendly,Kyiv,Ukraine,False
1998-09-05,Ukraine,Russia,3,2,UEFA Euro qualification,Kyiv,Ukraine,False
1998-10-10,Andorra,Ukraine,0,2,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
1998-10-14,Ukraine,Armenia,2,0,UEFA Euro qualification,Kyiv,Ukraine,False
1999-03-20,Georgia,Ukraine,0,1,Friendly,Tbilisi,Georgia,False
1999-03-27,France,Ukraine,0,0,UEFA Euro qualification,Saint-Denis,France,False
1999-03-31,Ukraine,Iceland,1,1,UEFA Euro qualification,Kyiv,Ukraine,False
1999-06-05,Ukraine,Andorra,4,0,UEFA Euro qualification,Kyiv,Ukraine,False
1999-06-09,Armenia,Ukraine,0,0,UEFA Euro qualification,Yerevan,Armenia,False
1999-08-18,Ukraine,Bulgaria,1,1,Friendly,Kyiv,Ukraine,False
1999-09-04,Ukraine,France,0,0,UEFA Euro qualification,Kyiv,Ukraine,False
1999-09-08,Iceland,Ukraine,0,1,UEFA Euro qualification,Reykjavík,Iceland,False
1999-10-09,Russia,Ukraine,1,1,UEFA Euro qualification,Moscow,Russia,False
1999-11-13,Slovenia,Ukraine,2,1,UEFA Euro qualification,Ljubljana,Slovenia,False
1999-11-17,Ukraine,Slovenia,1,1,UEFA Euro qualification,Kyiv,Ukraine,False
2000-04-26,Bulgaria,Ukraine,0,1,Friendly,Sofia,Bulgaria,False
2000-05-31,England,Ukraine,2,0,Friendly,London,England,False
2000-09-02,Ukraine,Poland,1,3,FIFA World Cup qualification,Kyiv,Ukraine,False
2000-10-07,Armenia,Ukraine,2,3,FIFA World Cup qualification,Yerevan,Armenia,False
2000-10-11,Norway,Ukraine,0,1,FIFA World Cup qualification,Oslo,Norway,False
2001-02-14,Georgia,Ukraine,0,0,Friendly,Tbilisi,Georgia,False
2001-02-26,Romania,Ukraine,1,0,Cyprus International Tournament,Nicosia,Cyprus,True
2001-02-28,Cyprus,Ukraine,4,3,Cyprus International Tournament,Larnaca,Cyprus,False
2001-03-24,Ukraine,Belarus,0,0,FIFA World Cup qualification,Kyiv,Ukraine,False
2001-03-28,Wales,Ukraine,1,1,FIFA World Cup qualification,Cardiff,Wales,False
2001-06-02,Ukraine,Norway,0,0,FIFA World Cup qualification,Kyiv,Ukraine,False
2001-06-06,Ukraine,Wales,1,1,FIFA World Cup qualification,Kyiv,Ukraine,False
2001-08-15,Latvia,Ukraine,0,1,Friendly,Riga,Latvia,False
2001-09-01,Belarus,Ukraine,0,2,FIFA World Cup qualification,Minsk,Belarus,False
2001-09-05,Ukraine,Armenia,3,0,FIFA World Cup qualification,Lviv,Ukraine,False
2001-10-06,Poland,Ukraine,1,1,FIFA World Cup qualification,Chorzów,Poland,False
2001-11-10,Ukraine,Germany,1,1,FIFA World Cup qualification,Kyiv,Ukraine,False
2001-11-14,Germany,Ukraine,4,1,FIFA World Cup qualification,Dortmund,Germany,False
2002-03-21,Japan,Ukraine,1,0,Friendly,Osaka,Japan,False
2002-03-27,Romania,Ukraine,4,1,Friendly,Constanţa,Romania,False
2002-04-17,Ukraine,Georgia,2,1,Friendly,Kyiv,Ukraine,False
2002-05-17,Ukraine,Serbia,2,0,Friendly,Moscow,Russia,True
2002-05-19,Belarus,Ukraine,2,0,Friendly,Moscow,Russia,True
2002-08-21,Ukraine,Iran,0,1,Friendly,Kyiv,Ukraine,False
2002-09-07,Armenia,Ukraine,2,2,UEFA Euro qualification,Yerevan,Armenia,False
2002-10-12,Ukraine,Greece,2,0,UEFA Euro qualification,Kyiv,Ukraine,False
2002-10-16,Northern Ireland,Ukraine,0,0,UEFA Euro qualification,Belfast,Northern Ireland,False
2002-11-20,Slovakia,Ukraine,1,1,Friendly,Trnava,Slovakia,False
2003-02-12,Turkey,Ukraine,0,0,Friendly,İzmir,Turkey,False
2003-03-29,Ukraine,Spain,2,2,UEFA Euro qualification,Kyiv,Ukraine,False
2003-04-02,Ukraine,Latvia,1,0,Friendly,Kyiv,Ukraine,False
2003-04-30,Denmark,Ukraine,1,0,Friendly,Copenhagen,Denmark,False
2003-06-07,Ukraine,Armenia,4,3,UEFA Euro qualification,Lviv,Ukraine,False
2003-06-11,Greece,Ukraine,1,0,UEFA Euro qualification,Athens,Greece,False
2003-08-20,Ukraine,Romania,0,2,Friendly,Donetsk,Ukraine,False
2003-09-06,Ukraine,Northern Ireland,0,0,UEFA Euro qualification,Donetsk,Ukraine,False
2003-09-10,Spain,Ukraine,2,1,UEFA Euro qualification,Elche,Spain,False
2003-10-11,Ukraine,North Macedonia,0,0,Friendly,Kyiv,Ukraine,False
2004-02-18,Libya,Ukraine,1,1,Friendly,Tripoli,Libya,False
2004-03-31,North Macedonia,Ukraine,1,0,Friendly,Skopje,North Macedonia,False
2004-04-28,Ukraine,Slovakia,1,1,Friendly,Kyiv,Ukraine,False
2004-06-06,France,Ukraine,1,0,Friendly,Saint-Denis,France,False
2004-08-18,England,Ukraine,3,0,Friendly,Newcastle,England,False
2004-09-04,Denmark,Ukraine,1,1,FIFA World Cup qualification,Copenhagen,Denmark,False
2004-09-08,Kazakhstan,Ukraine,1,2,FIFA World Cup qualification,Almaty,Kazakhstan,False
2004-10-09,Ukraine,Greece,1,1,FIFA World Cup qualification,Kyiv,Ukraine,False
2004-10-13,Ukraine,Georgia,2,0,FIFA World Cup qualification,Lviv,Ukraine,False
2004-11-17,Turkey,Ukraine,0,3,FIFA World Cup qualification,Istanbul,Turkey,False
2005-02-09,Albania,Ukraine,0,2,FIFA World Cup qualification,Tirana,Albania,False
2005-03-30,Ukraine,Denmark,1,0,FIFA World Cup qualification,Kyiv,Ukraine,False
2005-06-04,Ukraine,Kazakhstan,2,0,FIFA World Cup qualification,Kyiv,Ukraine,False
2005-06-08,Greece,Ukraine,0,1,FIFA World Cup qualification,Piraeus,Greece,False
2005-08-15,Ukraine,Israel,0,0,Friendly,Kyiv,Ukraine,False
2005-08-17,Ukraine,Serbia,2,1,Friendly,Kyiv,Ukraine,False
2005-09-03,Georgia,Ukraine,1,1,FIFA World Cup qualification,Tbilisi,Georgia,False
2005-09-07,Ukraine,Turkey,0,1,FIFA World Cup qualification,Kyiv,Ukraine,False
2005-10-08,Ukraine,Albania,2,2,FIFA World Cup qualification,Dnipropetrovs'k,Ukraine,False
2005-10-12,Ukraine,Japan,1,0,Friendly,Kyiv,Ukraine,False
2006-02-28,Azerbaijan,Ukraine,0,0,Friendly,Baku,Azerbaijan,False
2006-05-28,Ukraine,Costa Rica,4,0,Friendly,Kyiv,Ukraine,False
2006-06-02,Italy,Ukraine,0,0,Friendly,Lausanne,Switzerland,True
2006-06-05,Ukraine,Libya,3,0,Friendly,Gossau,Switzerland,True
2006-06-08,Luxembourg,Ukraine,0,3,Friendly,Luxembourg,Luxembourg,False
2006-06-14,Spain,Ukraine,4,0,FIFA World Cup,Leipzig,Germany,True
2006-06-19,Saudi Arabia,Ukraine,0,4,FIFA World Cup,Hamburg,Germany,True
2006-06-23,Ukraine,Tunisia,1,0,FIFA World Cup,Berlin,Germany,True
2006-06-26,Switzerland,Ukraine,0,0,FIFA World Cup,Cologne,Germany,True
2006-06-30,Italy,Ukraine,3,0,FIFA World Cup,Hamburg,Germany,True
2006-08-15,Ukraine,Azerbaijan,6,0,Friendly,Kyiv,Ukraine,False
2006-09-06,Ukraine,Georgia,3,2,UEFA Euro qualification,Kyiv,Ukraine,False
2006-10-07,Italy,Ukraine,2,0,UEFA Euro qualification,Rome,Italy,False
2006-10-11,Ukraine,Scotland,2,0,UEFA Euro qualification,Kyiv,Ukraine,False
2007-02-07,Israel,Ukraine,1,1,Friendly,Ramat Gan,Israel,False
2007-03-24,Faroe Islands,Ukraine,0,2,UEFA Euro qualification,Toftir,Faroe Islands,False
2007-03-28,Ukraine,Lithuania,1,0,UEFA Euro qualification,Odessa,Ukraine,False
2007-06-02,France,Ukraine,2,0,UEFA Euro qualification,Saint-Denis,France,False
2007-08-22,Ukraine,Uzbekistan,2,1,Friendly,Kyiv,Ukraine,False
2007-09-08,Georgia,Ukraine,1,1,UEFA Euro qualification,Tbilisi,Georgia,False
2007-09-12,Ukraine,Italy,1,2,UEFA Euro qualification,Kyiv,Ukraine,False
2007-10-13,Scotland,Ukraine,3,1,UEFA Euro qualification,Glasgow,Scotland,False
2007-10-17,Ukraine,Faroe Islands,5,0,UEFA Euro qualification,Kyiv,Ukraine,False
2007-11-17,Lithuania,Ukraine,2,0,UEFA Euro qualification,Kaunas,Lithuania,False
2007-11-21,Ukraine,France,2,2,UEFA Euro qualification,Kyiv,Ukraine,False
2008-02-06,Cyprus,Ukraine,1,1,Friendly,Nicosia,Cyprus,False
2008-03-26,Ukraine,Serbia,2,0,Friendly,Kyiv,Ukraine,False
2008-05-24,Netherlands,Ukraine,3,0,Friendly,Rotterdam,Netherlands,False
2008-06-01,Sweden,Ukraine,0,1,Friendly,Solna,Sweden,False
2008-08-20,Ukraine,Poland,1,0,Friendly,Lviv,Ukraine,False
2008-09-06,Ukraine,Belarus,1,0,FIFA World Cup qualification,Lviv,Ukraine,False
2008-09-10,Kazakhstan,Ukraine,1,3,FIFA World Cup qualification,Almaty,Kazakhstan,False
2008-10-11,Ukraine,Croatia,0,0,FIFA World Cup qualification,Kharkiv,Ukraine,False
2008-11-19,Ukraine,Norway,1,0,Friendly,Dnipropetrovs'k,Ukraine,False
2009-02-10,Slovakia,Ukraine,2,3,Cyprus International Tournament,Limassol,Cyprus,True
2009-02-11,Serbia,Ukraine,0,1,Cyprus International Tournament,Nicosia,Cyprus,True
2009-04-01,England,Ukraine,2,1,FIFA World Cup qualification,London,England,False
2009-06-06,Croatia,Ukraine,2,2,FIFA World Cup qualification,Zagreb,Croatia,False
2009-06-10,Ukraine,Kazakhstan,2,1,FIFA World Cup qualification,Kyiv,Ukraine,False
2009-08-12,Ukraine,Turkey,0,3,Friendly,Kyiv,Ukraine,False
2009-09-05,Ukraine,Andorra,5,0,FIFA World Cup qualification,Kyiv,Ukraine,False
2009-09-09,Belarus,Ukraine,0,0,FIFA World Cup qualification,Minsk,Belarus,False
2009-10-10,Ukraine,England,1,0,FIFA World Cup qualification,Dnipropetrovs'k,Ukraine,False
2009-10-14,Andorra,Ukraine,0,6,FIFA World Cup qualification,Sant Julià de Lòria,Andorra,False
2009-11-14,Greece,Ukraine,0,0,FIFA World Cup qualification,Athens,Greece,False
2009-11-18,Ukraine,Greece,0,1,FIFA World Cup qualification,Donetsk,Ukraine,False
2010-05-25,Ukraine,Lithuania,4,0,Friendly,Kharkiv,Ukraine,False
2010-05-29,Ukraine,Romania,3,2,Friendly,Lviv,Ukraine,False
2010-06-02,Norway,Ukraine,0,1,Friendly,Oslo,Norway,False
2010-08-11,Ukraine,Netherlands,1,1,Friendly,Donetsk,Ukraine,False
2010-09-04,Poland,Ukraine,1,1,Friendly,Łódź,Poland,False
2010-09-07,Ukraine,Chile,2,1,Friendly,Kyiv,Ukraine,False
2010-10-08,Ukraine,Canada,2,2,Friendly,Kyiv,Ukraine,False
2010-10-11,Brazil,Ukraine,2,0,Friendly,Derby,England,True
2010-11-17,Switzerland,Ukraine,2,2,Friendly,Geneva,Switzerland,False
2011-02-08,Romania,Ukraine,2,2,Cyprus International Tournament,Paralímni,Cyprus,True
2011-02-09,Sweden,Ukraine,1,1,Cyprus International Tournament,Nicosia,Cyprus,True
2011-03-29,Ukraine,Italy,0,2,Friendly,Kyiv,Ukraine,False
2011-06-01,Ukraine,Uzbekistan,2,0,Friendly,Kyiv,Ukraine,False
2011-06-06,Ukraine,France,1,4,Friendly,Donetsk,Ukraine,False
2011-08-10,Ukraine,Sweden,0,1,Friendly,Kharkiv,Ukraine,False
2011-09-02,Ukraine,Uruguay,2,3,Friendly,Kharkiv,Ukraine,False
2011-09-06,Czech Republic,Ukraine,4,0,Friendly,Prague,Czech Republic,False
2011-10-07,Ukraine,Bulgaria,3,0,Friendly,Kyiv,Ukraine,False
2011-10-11,Estonia,Ukraine,0,2,Friendly,Tallinn,Estonia,False
2011-11-11,Ukraine,Germany,3,3,Friendly,Kyiv,Ukraine,False
2011-11-15,Ukraine,Austria,2,1,Friendly,Lviv,Ukraine,False
2012-02-29,Israel,Ukraine,2,3,Friendly,Petah Tikva,Israel,False
2012-05-28,Ukraine,Estonia,4,0,Friendly,Kufstein,Austria,True
2012-06-01,Austria,Ukraine,3,2,Friendly,Innsbruck,Austria,False
2012-06-05,Turkey,Ukraine,2,0,Friendly,Ingolstadt,Germany,True
2012-06-11,Ukraine,Sweden,2,1,UEFA Euro,Kyiv,Ukraine,False
2012-06-15,Ukraine,France,0,2,UEFA Euro,Donetsk,Ukraine,False
2012-06-19,Ukraine,England,0,1,UEFA Euro,Donetsk,Ukraine,False
2012-08-15,Ukraine,Czech Republic,0,0,Friendly,Lviv,Ukraine,False
2012-09-11,England,Ukraine,1,1,FIFA World Cup qualification,London,England,False
2012-10-12,Moldova,Ukraine,0,0,FIFA World Cup qualification,Chișinău,Moldova,False
2012-10-16,Ukraine,Montenegro,0,1,FIFA World Cup qualification,Kyiv,Ukraine,False
2012-11-14,Bulgaria,Ukraine,0,1,Friendly,Sofia,Bulgaria,False
2013-02-06,Norway,Ukraine,0,2,Friendly,Seville,Spain,True
2013-03-22,Poland,Ukraine,1,3,FIFA World Cup qualification,Warsaw,Poland,False
2013-03-26,Ukraine,Moldova,2,1,FIFA World Cup qualification,Odessa,Ukraine,False
2013-06-02,Ukraine,Cameroon,0,0,Friendly,Kyiv,Ukraine,False
2013-06-07,Montenegro,Ukraine,0,4,FIFA World Cup qualification,Podgorica,Montenegro,False
2013-08-14,Ukraine,Israel,2,0,Friendly,Kyiv,Ukraine,False
2013-09-06,Ukraine,San Marino,9,0,FIFA World Cup qualification,Lviv,Ukraine,False
2013-09-10,Ukraine,England,0,0,FIFA World Cup qualification,Kyiv,Ukraine,False
2013-10-11,Ukraine,Poland,1,0,FIFA World Cup qualification,Kharkiv,Ukraine,False
2013-10-15,San Marino,Ukraine,0,8,FIFA World Cup qualification,Serravalle,San Marino,False
2013-11-15,Ukraine,France,2,0,FIFA World Cup qualification,Kyiv,Ukraine,False
2013-11-19,France,Ukraine,3,0,FIFA World Cup qualification,Saint-Denis,France,False
2014-03-05,Ukraine,United States,2,0,Friendly,Larnaca,Cyprus,True
2014-05-22,Ukraine,Niger,2,1,Friendly,Kyiv,Ukraine,False
2014-09-03,Ukraine,Moldova,1,0,Friendly,Kyiv,Ukraine,False
2014-09-08,Ukraine,Slovakia,0,1,UEFA Euro qualification,Kyiv,Ukraine,False
2014-10-09,Belarus,Ukraine,0,2,UEFA Euro qualification,Barysaw,Belarus,False
2014-10-12,Ukraine,North Macedonia,1,0,UEFA Euro qualification,Lviv,Ukraine,False
2014-11-15,Luxembourg,Ukraine,0,3,UEFA Euro qualification,Luxembourg,Luxembourg,False
2014-11-18,Ukraine,Lithuania,0,0,Friendly,Kyiv,Ukraine,False
2015-03-27,Spain,Ukraine,1,0,UEFA Euro qualification,Seville,Spain,False
2015-03-31,Ukraine,Latvia,1,1,Friendly,Lviv,Ukraine,False
