Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1979-07-21,Belarus,Armenia,3,0,Friendly,Minsk,Soviet Union,False
1992-10-14,Armenia,Moldova,0,0,Friendly,Yerevan,Armenia,False
1994-05-15,United States,Armenia,1,0,Friendly,Fullerton,United States,False
1994-07-16,Armenia,Malta,1,0,Friendly,Yerevan,Armenia,False
1994-09-07,Belgium,Armenia,2,0,UEFA Euro qualification,Brussels,Belgium,False
1994-10-08,Armenia,Cyprus,0,0,UEFA Euro qualification,Yerevan,Armenia,False
1994-11-16,Cyprus,Armenia,2,0,UEFA Euro qualification,Limassol,Cyprus,False
1995-04-26,Armenia,Spain,0,2,UEFA Euro qualification,Yerevan,Armenia,False
1995-05-10,Armenia,North Macedonia,2,2,UEFA Euro qualification,Yerevan,Armenia,False
1995-06-07,Spain,Armenia,1,0,UEFA Euro qualification,Seville,Spain,False
1995-08-16,Armenia,Denmark,0,2,UEFA Euro qualification,Yerevan,Armenia,False
1995-09-06,North Macedonia,Armenia,1,2,UEFA Euro qualification,Skopje,North Macedonia,False
1995-10-07,Armenia,Belgium,0,2,UEFA Euro qualification,Yerevan,Armenia,False
1995-11-15,Denmark,Armenia,3,1,UEFA Euro qualification,Copenhagen,Denmark,False
1996-01-17,Armenia,Morocco,0,6,Friendly,Vitrolles,France,True
1996-06-05,France,Armenia,2,0,Friendly,Villeneuve-d'Ascq,France,False
1996-06-20,Peru,Armenia,4,0,Friendly,Lima,Peru,False
1996-06-25,Paraguay,Armenia,1,2,Friendly,Asunción,Paraguay,False
1996-06-30,Ecuador,Armenia,3,0,Friendly,Portoviejo,Ecuador,False
1996-08-31,Armenia,Portugal,0,0,FIFA World Cup qualification,Yerevan,Armenia,False
1996-10-05,Northern Ireland,Armenia,1,1,FIFA World Cup qualification,Belfast,Northern Ireland,False
1996-10-09,Armenia,Germany,1,5,FIFA World Cup qualification,Yerevan,Armenia,False
1996-11-09,Albania,Armenia,1,1,FIFA World Cup qualification,Tirana,Albania,False
1997-01-04,Chile,Armenia,7,0,Friendly,Viña del Mar,Chile,False
1997-01-06,Paraguay,Armenia,2,0,Friendly,Asunción,Paraguay,False
1997-03-30,Georgia,Armenia,7,0,Friendly,Tbilisi,Georgia,False
1997-04-30,Armenia,Northern Ireland,0,0,FIFA World Cup qualification,Yerevan,Armenia,False
1997-05-07,Ukraine,Armenia,1,1,FIFA World Cup qualification,Kyiv,Ukraine,False
1997-08-20,Portugal,Armenia,3,1,FIFA World Cup qualification,Setúbal,Portugal,False
1997-09-06,Armenia,Albania,3,0,FIFA World Cup qualification,Yerevan,Armenia,False
1997-09-10,Germany,Armenia,4,0,FIFA World Cup qualification,Dortmund,Germany,False
1997-10-11,Armenia,Ukraine,0,2,FIFA World Cup qualification,Yerevan,Armenia,False
1998-08-18,Armenia,Lebanon,1,0,Friendly,Abovyan,Armenia,False
1998-09-05,Armenia,Andorra,3,1,UEFA Euro qualification,Yerevan,Armenia,False
1998-10-10,Armenia,Iceland,0,0,UEFA Euro qualification,Yerevan,Armenia,False
1998-10-14,Ukraine,Armenia,2,0,UEFA Euro qualification,Kyiv,Ukraine,False
1998-11-21,Armenia,Estonia,2,1,Friendly,Abovyan,Armenia,False
1999-03-03,Poland,Armenia,1,0,Friendly,Warsaw,Poland,False
1999-03-27,Armenia,Russia,0,3,UEFA Euro qualification,Yerevan,Armenia,False
1999-03-31,France,Armenia,2,0,UEFA Euro qualification,Saint-Denis,France,False
1999-06-05,Iceland,Armenia,2,0,UEFA Euro qualification,Reykjavík,Iceland,False
1999-06-09,Armenia,Ukraine,0,0,UEFA Euro qualification,Yerevan,Armenia,False
1999-08-18,Estonia,Armenia,2,0,Friendly,Pärnu,Estonia,False
1999-09-04,Russia,Armenia,2,0,UEFA Euro qualification,Moscow,Russia,False
1999-09-08,Armenia,France,2,3,UEFA Euro qualification,Yerevan,Armenia,False
1999-10-09,Andorra,Armenia,0,3,UEFA Euro qualification,Sant Julià de Lòria,Andorra,False
2000-01-09,Guatemala,Armenia,1,1,Friendly,Los Angeles,United States,True
2000-02-02,Armenia,Moldova,2,1,Cyprus International Tournament,Larnaca,Cyprus,True
2000-02-04,Cyprus,Armenia,3,2,Cyprus International Tournament,Nicosia,Cyprus,False
2000-02-06,Georgia,Armenia,2,1,Cyprus International Tournament,Limassol,Cyprus,True
2000-04-26,Armenia,Georgia,0,0,Friendly,Yerevan,Armenia,False
