Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1936-01-01,French Guiana,Suriname,1,3,Friendly,Cayenne,French Guiana,False
1947-03-02,Suriname,French Guiana,9,1,Friendly,Paramaribo,Dutch Guyana,False
1948-09-26,French Guiana,Suriname,2,4,Friendly,Cayenne,French Guiana,False
1948-10-10,French Guiana,Guyana,3,2,Friendly,Cayenne,French Guiana,False
1948-12-18,Guadeloupe,French Guiana,7,2,Friendly,Pointe-à-Pitre,Guadeloupe,False
1949-08-14,Suriname,French Guiana,5,0,Friendly,Paramaribo,Dutch Guyana,False
1949-08-19,Suriname,French Guiana,2,1,Friendly,Paramaribo,Dutch Guyana,False
1962-10-15,Suriname,French Guiana,4,2,Friendly,Paramaribo,Dutch Guyana,False
1964-06-04,French Guiana,Suriname,3,1,Friendly,Cayenne,French Guiana,False
1964-06-05,French Guiana,Suriname,3,3,Friendly,Cayenne,French Guiana,False
1965-07-25,Suriname,French Guiana,7,0,Friendly,Paramaribo,Dutch Guyana,False
1965-07-26,Suriname,French Guiana,5,0,Friendly,Paramaribo,Dutch Guyana,False
1966-10-15,French Guiana,Suriname,3,3,Friendly,Cayenne,French Guiana,False
1966-10-16,French Guiana,Suriname,0,3,Friendly,Cayenne,French Guiana,False
1967-01-23,Martinique,French Guiana,2,1,Friendly,Fort-de-France,Martinique,False
1967-05-14,Suriname,French Guiana,6,1,Friendly,Paramaribo,Dutch Guyana,False
1967-05-15,Suriname,French Guiana,3,0,Friendly,Paramaribo,Dutch Guyana,False
1968-09-01,Suriname,French Guiana,2,1,Friendly,Paramaribo,Dutch Guyana,False
1969-04-26,French Guiana,Suriname,1,2,Friendly,Cayenne,French Guiana,False
1969-10-05,Suriname,French Guiana,1,1,Friendly,Paramaribo,Dutch Guyana,False
1969-10-23,French Guiana,Martinique,0,0,Friendly,Cayenne,French Guiana,False
1969-11-11,French Guiana,Suriname,3,2,Friendly,Cayenne,French Guiana,False
1970-11-11,Suriname,French Guiana,3,2,Friendly,Paramaribo,Dutch Guyana,False
1975-11-05,French Guiana,Martinique,1,2,Friendly,Cayenne,French Guiana,False
1978-08-20,Trinidad and Tobago,French Guiana,2,4,CFU Caribbean Cup qualification,Port of Spain,Trinidad and Tobago,False
1978-09-02,French Guiana,Trinidad and Tobago,1,4,CFU Caribbean Cup qualification,Cayenne,French Guiana,False
1978-09-09,French Guiana,Martinique,4,2,Friendly,Cayenne,French Guiana,False
1981-06-07,Suriname,French Guiana,3,1,CFU Caribbean Cup qualification,Paramaribo,Suriname,False
1981-06-21,French Guiana,Suriname,3,1,CFU Caribbean Cup qualification,Cayenne,French Guiana,False
1981-07-19,Suriname,French Guiana,1,0,CFU Caribbean Cup qualification,Paramaribo,Suriname,False
1983-07-23,French Guiana,Trinidad and Tobago,0,1,CFU Caribbean Cup,Cayenne,French Guiana,False
1983-07-25,French Guiana,Antigua and Barbuda,1,0,CFU Caribbean Cup,Cayenne,French Guiana,False
1983-07-27,French Guiana,Martinique,0,0,CFU Caribbean Cup,Cayenne,French Guiana,False
1985-03-10,French Guiana,Guyana,0,1,CFU Caribbean Cup qualification,Cayenne,French Guiana,False
1985-03-17,French Guiana,Suriname,0,1,CFU Caribbean Cup qualification,Cayenne,French Guiana,False
1986-05-09,French Guiana,Réunion,0,0,Friendly,Gagny,France,True
1987-05-28,Guadeloupe,French Guiana,4,1,Friendly,Gagny,France,True
1987-11-11,French Guiana,Suriname,1,1,CFU Caribbean Cup qualification,Cayenne,French Guiana,False
1987-12-05,Suriname,French Guiana,1,0,CFU Caribbean Cup qualification,Paramaribo,Suriname,False
1989-04-23,Saint Kitts and Nevis,French Guiana,1,0,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1989-05-10,French Guiana,Trinidad and Tobago,1,3,CFU Caribbean Cup qualification,Cayenne,French Guiana,False
1989-06-08,French Guiana,Aruba,4,0,CFU Caribbean Cup qualification,Cayenne,French Guiana,False
1989-06-30,Grenada,French Guiana,0,0,CFU Caribbean Cup qualification,St. George's,Grenada,False
1990-04-22,Martinique,French Guiana,4,0,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False
1990-05-13,Dominica,French Guiana,1,1,CFU Caribbean Cup qualification,Roseau,Dominica,False
1990-05-30,French Guiana,Saint Vincent and the Grenadines,2,2,CFU Caribbean Cup qualification,Cayenne,French Guiana,False
1991-03-02,Suriname,French Guiana,3,0,Friendly,Paramaribo,Suriname,False
1991-05-15,Martinique,French Guiana,1,2,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False
1991-05-17,Guadeloupe,French Guiana,1,0,CFU Caribbean Cup qualification,Fort-de-France,Martinique,True
1992-05-06,French Guiana,Guyana,1,1,CFU Caribbean Cup qualification,Paramaribo,Suriname,True
1992-05-08,Aruba,French Guiana,0,2,CFU Caribbean Cup qualification,Paramaribo,Suriname,True
1992-05-09,Suriname,French Guiana,3,2,CFU Caribbean Cup qualification,Paramaribo,Suriname,False
1993-03-03,Martinique,French Guiana,2,1,CFU Caribbean Cup qualification,Fort-de-France,Martinique,False
1993-03-24,French Guiana,Guadeloupe,2,1,CFU Caribbean Cup qualification,Cayenne,French Guiana,False
1994-01-19,Suriname,French Guiana,1,0,CFU Caribbean Cup qualification,Paramaribo,Suriname,False
1994-01-21,Guyana,French Guiana,1,1,CFU Caribbean Cup qualification,Paramaribo,Suriname,True
1995-05-09,French Guiana,Martinique,1,3,CFU Caribbean Cup qualification,Cayenne,French Guiana,False
1995-05-11,French Guiana,Guadeloupe,2,2,CFU Caribbean Cup qualification,Cayenne,French Guiana,False
