Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1949-05-14,Cuba,Dominican Republic,0,1,Friendly,Paramaribo,Dutch Guyana,True
1976-04-02,Dominican Republic,Haiti,0,3,CONCACAF Championship qualification,Santo Domingo,Dominican Republic,False
1976-04-17,Haiti,Dominican Republic,3,0,CONCACAF Championship qualification,Port-au-Prince,Haiti,False
1986-05-21,Panama,Dominican Republic,2,1,Friendly,Panama City,Panama,False
1987-02-25,Dominican Republic,Panama,0,2,Friendly,Santo Domingo,Dominican Republic,False
1987-02-27,Dominican Republic,Panama,1,2,Friendly,Santo Domingo,Dominican Republic,False
1987-02-28,Dominican Republic,Panama,1,1,Friendly,Santo Domingo,Dominican Republic,False
1987-03-03,Dominican Republic,Panama,0,1,Friendly,Santo Domingo,Dominican Republic,False
1991-05-12,Dominican Republic,Haiti,1,1,CFU Caribbean Cup qualification,San Juan,Puerto Rico,True
1991-05-14,Puerto Rico,Dominican Republic,1,3,CFU Caribbean Cup qualification,San Juan,Puerto Rico,False
1991-05-23,Dominican Republic,Trinidad and Tobago,0,7,CFU Caribbean Cup,Kingston,Jamaica,True
1991-05-25,Dominican Republic,Saint Lucia,0,0,CFU Caribbean Cup,Kingston,Jamaica,True
1991-05-27,Dominican Republic,Martinique,1,4,CFU Caribbean Cup,Kingston,Jamaica,True
1992-03-21,Dominican Republic,Puerto Rico,1,2,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
1992-03-29,Puerto Rico,Dominican Republic,1,1,FIFA World Cup qualification,San Juan,Puerto Rico,False
1993-04-04,Dominican Republic,British Virgin Islands,3,1,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,True
1993-04-06,Saint Kitts and Nevis,Dominican Republic,2,2,CFU Caribbean Cup qualification,Basseterre,Saint Kitts and Nevis,False
1994-03-10,Dominican Republic,Haiti,0,1,CFU Caribbean Cup qualification,Santo Domingo,Dominican Republic,False
1995-05-23,Dominican Republic,Puerto Rico,3,1,CFU Caribbean Cup qualification,Santo Domingo,Dominican Republic,False
1995-05-25,Dominican Republic,Cuba,0,3,CFU Caribbean Cup qualification,Santo Domingo,Dominican Republic,False
1995-05-27,Dominican Republic,Curaçao,1,2,CFU Caribbean Cup qualification,Santo Domingo,Dominican Republic,False
1996-03-24,Dominican Republic,Aruba,3,2,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
1996-03-31,Aruba,Dominican Republic,1,3,FIFA World Cup qualification,Oranjestad,Aruba,False
1996-04-26,Haiti,Dominican Republic,6,0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,False
1996-04-28,Haiti,Dominican Republic,1,1,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,False
1996-05-04,Dominican Republic,Curaçao,2,1,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
1996-05-11,Curaçao,Dominican Republic,0,0,FIFA World Cup qualification,Willemstad,Curaçao,True
1996-06-15,Dominican Republic,Trinidad and Tobago,1,4,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
1996-06-23,Trinidad and Tobago,Dominican Republic,8,0,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,False
1998-03-13,Dominican Republic,Puerto Rico,3,1,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,True
1998-03-15,Haiti,Dominican Republic,5,0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,False
1999-03-17,British Virgin Islands,Dominican Republic,0,0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,True
1999-03-19,Haiti,Dominican Republic,4,0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,False
1999-03-21,Dominican Republic,Puerto Rico,2,0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,True
2000-02-13,Dominican Republic,British Virgin Islands,1,0,Friendly,Santo Domingo,Dominican Republic,False
2000-03-05,Dominican Republic,Montserrat,3,0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,False
2000-03-19,Montserrat,Dominican Republic,1,3,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,True
2000-04-02,Trinidad and Tobago,Dominican Republic,3,0,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,False
2000-04-16,Dominican Republic,Trinidad and Tobago,0,1,FIFA World Cup qualification,San Cristóbal,Dominican Republic,False
2001-03-01,Saint Kitts and Nevis,Dominican Republic,2,1,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,True
2001-03-03,Antigua and Barbuda,Dominican Republic,2,3,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
2002-08-16,Dominican Republic,United States Virgin Islands,6,1,Gold Cup qualification,San Cristóbal,Dominican Republic,False
2002-08-18,Dominican Republic,United States Virgin Islands,5,1,Gold Cup qualification,San Cristóbal,Dominican Republic,False
2002-11-27,Martinique,Dominican Republic,4,0,Gold Cup qualification,George Town,Cayman Islands,True
2002-11-29,Cayman Islands,Dominican Republic,1,0,Gold Cup qualification,George Town,Cayman Islands,False
2002-12-01,Dominican Republic,Cuba,1,2,Gold Cup qualification,George Town,Cayman Islands,True
2004-03-19,Dominican Republic,Anguilla,0,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
2004-03-21,Dominican Republic,Anguilla,6,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
2004-04-27,Curaçao,Dominican Republic,3,1,Friendly,Willemstad,Curaçao,False
2004-06-13,Dominican Republic,Trinidad and Tobago,0,2,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False
2004-06-20,Trinidad and Tobago,Dominican Republic,4,0,FIFA World Cup qualification,San Fernando,Trinidad and Tobago,False
2006-09-15,Haiti,Dominican Republic,3,1,Friendly,Saint-Marc,Haiti,False
2006-09-17,Haiti,Dominican Republic,2,1,Friendly,Port-au-Prince,Haiti,False
