Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1949-10-08,Sierra Leone,Nigeria,0,2,Friendly,Freetown,Sierra Leone,False
1950-05-28,Ghana,Nigeria,1,0,Friendly,Accra,Gold Coast,False
1951-10-20,Nigeria,Ghana,5,0,Friendly,Lagos,Nigeria,False
1953-10-11,Ghana,Nigeria,1,0,Friendly,Accra,Gold Coast,False
1954-10-30,Nigeria,Ghana,3,0,Friendly,Lagos,Nigeria,False
1955-05-28,Ghana,Nigeria,1,0,Friendly,Accra,Gold Coast,False
1955-10-30,Ghana,Nigeria,7,0,Friendly,Accra,Gold Coast,False
1956-10-06,Nigeria,Togo,1,1,Friendly,Lagos,Nigeria,False
1956-10-27,Nigeria,Ghana,3,0,Friendly,Lagos,Nigeria,False
1957-10-27,Ghana,Nigeria,3,3,Friendly,Accra,Ghana,False
1958-10-25,Nigeria,Ghana,3,2,Friendly,Lagos,Nigeria,False
1959-11-08,Benin,Nigeria,0,1,Friendly,Cotonou,Dahomey,False
1959-11-21,Ghana,Nigeria,5,2,Friendly,Accra,Ghana,False
1959-11-28,Nigeria,Benin,10,1,Friendly,Lagos,Nigeria,False
1960-04-24,Togo,Nigeria,1,1,Friendly,Lomé,Togo,False
1960-04-26,Cameroon,Nigeria,0,0,Friendly,Lomé,Togo,True
1960-06-01,Mali,Nigeria,3,2,Friendly,Bamako,Mali,False
1960-08-28,Ghana,Nigeria,4,1,FIFA World Cup qualification,Accra,Ghana,False
1960-09-10,Nigeria,Ghana,2,2,FIFA World Cup qualification,Lagos,Nigeria,False
1960-10-02,Nigeria,Guinea-Bissau,4,1,Friendly,Lagos,Nigeria,False
1960-10-05,Nigeria,Mali,2,3,Friendly,Lagos,Nigeria,False
1960-10-09,Nigeria,Ghana,0,3,Friendly,Lagos,Nigeria,False
1960-10-29,Nigeria,Ghana,1,1,Friendly,Lagos,Nigeria,False
1961-04-08,Nigeria,Ghana,0,0,African Cup of Nations qualification,Lagos,Nigeria,False
1961-04-22,Sierra Leone,Nigeria,1,4,Friendly,Freetown,Sierra Leone,False
1961-04-30,Ghana,Nigeria,2,2,African Cup of Nations qualification,Accra,Ghana,False
1961-06-01,Ghana,Nigeria,3,0,Friendly,Accra,Ghana,False
1961-11-25,Nigeria,Tunisia,2,1,African Cup of Nations qualification,Lagos,Nigeria,False
1961-12-17,Ghana,Nigeria,5,1,Friendly,Accra,Ghana,False
1962-11-10,Nigeria,Ghana,0,0,Friendly,Lagos,Nigeria,False
1962-12-08,Nigeria,Cameroon,3,1,Friendly,Lagos,Nigeria,False
1963-01-01,Cameroon,Nigeria,1,2,Friendly,Yaoundé,Cameroon,False
1963-01-27,Benin,Nigeria,1,1,Friendly,Cotonou,Dahomey,False
1963-02-02,Nigeria,Benin,4,1,Friendly,Benin City,Nigeria,False
1963-02-27,Nigeria,Senegal,4,0,Friendly,Kumasi,Ghana,True
1963-04-12,Nigeria,Niger,1,0,African Friendship Games,Dakar,Senegal,True
1963-04-14,Senegal,Nigeria,5,1,African Friendship Games,Dakar,Senegal,False
1963-07-27,Nigeria,Guinea,2,2,African Cup of Nations qualification,Lagos,Nigeria,False
1963-10-08,Liberia,Nigeria,2,2,Friendly,Monrovia,Liberia,False
1963-10-26,Nigeria,Liberia,3,0,Friendly,Lagos,Nigeria,False
1963-11-24,Egypt,Nigeria,6,3,African Cup of Nations,Kumasi,Ghana,True
1963-11-28,Nigeria,Sudan,0,4,African Cup of Nations,Kumasi,Ghana,True
1965-08-28,Gabon,Nigeria,2,2,Friendly,Libreville,Gabon,False
1965-08-29,Gabon,Nigeria,1,4,Friendly,Libreville,Gabon,False
1965-10-30,Nigeria,Ghana,0,4,Friendly,Lagos,Nigeria,False
1965-11-07,Ghana,Nigeria,3,0,Friendly,Accra,Ghana,False
1965-12-11,Nigeria,Benin,0,1,Friendly,Lagos,Nigeria,False
1966-02-27,Benin,Nigeria,1,2,Friendly,Cotonou,Dahomey,False
1966-03-06,Togo,Nigeria,2,2,Friendly,Lomé,Togo,False
1966-04-09,Nigeria,Togo,1,1,Friendly,Lagos,Nigeria,False
1966-11-05,Nigeria,DR Congo,3,2,Friendly,Lagos,Nigeria,False
1966-11-25,DR Congo,Nigeria,1,0,Friendly,Kinshasa,Congo-Kinshasa,False
1967-01-28,Nigeria,Ghana,2,2,Friendly,Lagos,Nigeria,False
1967-02-12,Ghana,Nigeria,2,0,Friendly,Accra,Ghana,False
1967-03-12,Nigeria,Ivory Coast,0,0,African Cup of Nations qualification,Lagos,Nigeria,False
1967-04-15,Nigeria,Togo,4,2,African Cup of Nations qualification,Lagos,Nigeria,False
1967-05-07,Ivory Coast,Nigeria,2,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1967-09-28,Ghana,Nigeria,1,1,Friendly,Accra,Ghana,False
1967-10-14,Sierra Leone,Nigeria,1,1,Friendly,Freetown,Sierra Leone,False
1967-10-21,Ghana,Nigeria,2,1,Friendly,Accra,Ghana,False
1967-12-23,Nigeria,Ghana,2,2,Friendly,Lagos,Nigeria,False
1968-01-27,Nigeria,Sierra Leone,4,1,Friendly,Lagos,Nigeria,False
1968-05-08,Kenya,Nigeria,1,2,Friendly,Nairobi,Kenya,False
1968-10-28,Nigeria,Thailand,7,2,Friendly,León,Mexico,True
1968-12-07,Nigeria,Cameroon,1,1,FIFA World Cup qualification,Lagos,Nigeria,False
1968-12-22,Cameroon,Nigeria,2,3,FIFA World Cup qualification,Douala,Cameroon,False
1969-05-10,Nigeria,Ghana,2,1,FIFA World Cup qualification,Ibadan,Nigeria,False
1969-05-18,Ghana,Nigeria,1,1,FIFA World Cup qualification,Accra,Ghana,False
1969-09-13,Nigeria,Sudan,2,2,FIFA World Cup qualification,Ibadan,Nigeria,False
