Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1963-08-29,Fiji,Papua New Guinea,3,1,South Pacific Games,Suva,Fiji,False
1966-12-09,Papua New Guinea,Tahiti,3,4,South Pacific Games,Nouméa,New Caledonia,True
1966-12-13,Papua New Guinea,Wallis Islands and Futuna,9,1,South Pacific Games,Nouméa,New Caledonia,True
1966-12-15,New Caledonia,Papua New Guinea,4,0,South Pacific Games,Nouméa,New Caledonia,False
1966-12-17,Papua New Guinea,Vanuatu,2,5,South Pacific Games,Nouméa,New Caledonia,True
1969-08-14,Papua New Guinea,New Caledonia,1,4,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-15,Papua New Guinea,Tahiti,1,3,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-16,Papua New Guinea,Solomon Islands,4,0,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-18,Papua New Guinea,Vanuatu,2,1,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-20,Papua New Guinea,Fiji,1,1,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-22,Papua New Guinea,Fiji,2,1,South Pacific Games,Port Moresby,Papua New Guinea,False
1971-09-09,Tahiti,Papua New Guinea,2,2,South Pacific Games,Papeete,Tahiti,False
1971-09-11,Cook Islands,Papua New Guinea,1,16,South Pacific Games,Papeete,Tahiti,True
1971-09-16,New Caledonia,Papua New Guinea,4,0,South Pacific Games,Papeete,Tahiti,True
1971-09-18,Tahiti,Papua New Guinea,8,1,South Pacific Games,Papeete,Tahiti,False
1975-08-02,Vanuatu,Papua New Guinea,3,0,South Pacific Games,Tamuning,Guam,True
1975-08-04,Papua New Guinea,Tahiti,2,4,South Pacific Games,Tamuning,Guam,True
1975-08-05,New Caledonia,Papua New Guinea,5,1,South Pacific Games,Tamuning,Guam,True
1979-08-29,Fiji,Papua New Guinea,0,0,South Pacific Games,Suva,Fiji,False
1979-08-31,Kiribati,Papua New Guinea,0,13,South Pacific Games,Suva,Fiji,True
1979-09-03,Papua New Guinea,Solomon Islands,2,3,South Pacific Games,Nausori,Fiji,True
1979-09-05,Vanuatu,Papua New Guinea,2,0,South Pacific Games,Nausori,Fiji,True
1980-02-24,Vanuatu,Papua New Guinea,3,4,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-02-26,Australia,Papua New Guinea,11,2,Oceania Nations Cup,Nouméa,New Caledonia,True
1980-02-28,New Caledonia,Papua New Guinea,8,0,Oceania Nations Cup,Nouméa,New Caledonia,False
1981-07-08,Papua New Guinea,Fiji,3,2,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-09,Papua New Guinea,Samoa,4,1,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-10,New Caledonia,Papua New Guinea,5,1,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-11,Tahiti,Papua New Guinea,5,0,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-13,Vanuatu,Papua New Guinea,2,3,South Pacific Mini Games,Honiara,Solomon Islands,True
1981-07-14,Solomon Islands,Papua New Guinea,1,2,South Pacific Mini Games,Honiara,Solomon Islands,False
1981-07-15,Papua New Guinea,Vanuatu,1,0,South Pacific Mini Games,Honiara,Solomon Islands,True
1983-08-22,Niue,Papua New Guinea,0,19,South Pacific Games,Apia,Western Samoa,True
1983-08-24,Papua New Guinea,Tahiti,1,2,South Pacific Games,Apia,Western Samoa,True
1983-09-14,Fiji,Papua New Guinea,2,0,South Pacific Games,Apia,Western Samoa,True
1983-09-14,Papua New Guinea,Tahiti,1,6,South Pacific Games,Apia,Western Samoa,True
1983-09-15,New Caledonia,Papua New Guinea,2,1,South Pacific Games,Apia,Western Samoa,True
1984-08-25,Liberia,Papua New Guinea,1,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1984-09-01,Indonesia,Papua New Guinea,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1984-09-04,Malaysia,Papua New Guinea,5,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1985-09-16,Papua New Guinea,China PR,1,4,Friendly,Lae,Papua New Guinea,False
1985-09-19,Papua New Guinea,China PR,1,1,Friendly,Port Moresby,Papua New Guinea,False
1987-12-09,Papua New Guinea,Tahiti,0,0,South Pacific Games,Nouméa,New Caledonia,True
1987-12-10,New Caledonia,Papua New Guinea,2,0,South Pacific Games,Nouméa,New Caledonia,False
1987-12-12,Papua New Guinea,Vanuatu,1,1,South Pacific Games,Nouméa,New Caledonia,True
1987-12-15,American Samoa,Papua New Guinea,0,20,South Pacific Games,Nouméa,New Caledonia,True
1987-12-17,Papua New Guinea,Wallis Islands and Futuna,2,0,South Pacific Games,Nouméa,New Caledonia,True
1987-12-19,Papua New Guinea,Vanuatu,3,1,South Pacific Games,Nouméa,New Caledonia,True
1989-10-28,Fiji,Papua New Guinea,2,1,Friendly,Suva,Fiji,False
1989-10-31,Papua New Guinea,Vanuatu,3,0,Friendly,Suva,Fiji,True
1989-11-03,Papua New Guinea,Solomon Islands,0,0,Friendly,Suva,Fiji,True
1989-11-04,New Caledonia,Papua New Guinea,2,1,Friendly,Suva,Fiji,True
1990-11-03,New Caledonia,Papua New Guinea,2,1,Friendly,Port Vila,Vanuatu,True
1990-11-05,Vanuatu,Papua New Guinea,1,0,Friendly,Port Vila,Vanuatu,False
1990-11-06,Solomon Islands,Papua New Guinea,1,0,Friendly,Port Vila,Vanuatu,True
1990-11-08,Fiji,Papua New Guinea,1,0,Friendly,Port Vila,Vanuatu,True
1991-09-09,Papua New Guinea,Solomon Islands,0,0,South Pacific Games,Lae,Papua New Guinea,False
1991-09-12,Papua New Guinea,Vanuatu,0,1,South Pacific Games,Lae,Papua New Guinea,False
1991-09-15,Papua New Guinea,Wallis Islands and Futuna,5,0,South Pacific Games,Lae,Papua New Guinea,False
1993-12-08,New Caledonia,Papua New Guinea,1,1,South Pacific Mini Games,Port Vila,Vanuatu,True
1993-12-10,Tonga,Papua New Guinea,0,5,South Pacific Mini Games,Port Vila,Vanuatu,True
1993-12-13,Vanuatu,Papua New Guinea,1,0,South Pacific Mini Games,Port Vila,Vanuatu,False
1994-07-03,Papua New Guinea,New Caledonia,1,0,Oceania Nations Cup qualification,Honiara,Solomon Islands,True
1994-07-05,Solomon Islands,Papua New Guinea,2,0,Oceania Nations Cup qualification,Honiara,Solomon Islands,False
1994-07-06,Papua New Guinea,Fiji,0,1,Oceania Nations Cup qualification,Honiara,Solomon Islands,True
1994-07-07,Vanuatu,Papua New Guinea,1,1,Oceania Nations Cup qualification,Honiara,Solomon Islands,True
1995-08-16,Fiji,Papua New Guinea,2,2,South Pacific Games,Papeete,Tahiti,True
1995-08-20,Papua New Guinea,Vanuatu,0,3,South Pacific Games,Papeete,Tahiti,True
1995-08-22,Guam,Papua New Guinea,0,9,South Pacific Games,Papeete,Tahiti,True
1996-09-16,Papua New Guinea,Solomon Islands,1,1,FIFA World Cup qualification,Lae,Papua New Guinea,False
1996-09-20,Papua New Guinea,Vanuatu,2,1,FIFA World Cup qualification,Lae,Papua New Guinea,False
1997-05-31,Papua New Guinea,New Zealand,1,0,FIFA World Cup qualification,Port Moresby,Papua New Guinea,False
