Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1922-06-17,New Zealand,Australia,3,1,Friendly,Dunedin,New Zealand,False
1922-06-24,New Zealand,Australia,1,1,Friendly,Wellington,New Zealand,False
1922-07-08,New Zealand,Australia,3,1,Friendly,Auckland,New Zealand,False
1923-06-09,Australia,New Zealand,2,1,Friendly,Brisbane,Australia,False
1923-06-16,Australia,New Zealand,2,3,Friendly,Sydney,Australia,False
1923-06-30,Australia,New Zealand,1,4,Friendly,Newcastle,Australia,False
1927-06-25,New Zealand,Canada,2,2,Friendly,Dunedin,New Zealand,False
1927-07-02,New Zealand,Canada,1,2,Friendly,Christchurch,New Zealand,False
1927-07-09,New Zealand,Canada,1,0,Friendly,Wellington,New Zealand,False
1927-07-23,New Zealand,Canada,1,4,Friendly,Auckland,New Zealand,False
1933-06-05,Australia,New Zealand,4,2,Friendly,Brisbane,Australia,False
1933-06-17,Australia,New Zealand,6,4,Friendly,Sydney,Australia,False
1933-06-24,Australia,New Zealand,4,2,Friendly,Sydney,Australia,False
1936-07-04,New Zealand,Australia,1,7,Friendly,Dunedin,New Zealand,False
1936-07-11,New Zealand,Australia,0,10,Friendly,Wellington,New Zealand,False
1936-07-18,New Zealand,Australia,1,4,Friendly,Auckland,New Zealand,False
1947-06-28,New Zealand,South Africa,5,6,Friendly,Christchurch,New Zealand,False
1947-07-05,New Zealand,South Africa,0,6,Friendly,Dunedin,New Zealand,False
1947-07-12,New Zealand,South Africa,3,8,Friendly,Wellington,New Zealand,False
1947-07-19,New Zealand,South Africa,1,4,Friendly,Auckland,New Zealand,False
1948-08-14,New Zealand,Australia,0,6,Friendly,Wellington,New Zealand,False
1948-08-28,New Zealand,Australia,0,7,Friendly,Christchurch,New Zealand,False
1948-09-04,New Zealand,Australia,0,4,Friendly,Wellington,New Zealand,False
1948-09-11,New Zealand,Australia,1,8,Friendly,Auckland,New Zealand,False
1951-09-19,New Caledonia,New Zealand,2,0,Friendly,Nouméa,New Caledonia,False
1951-09-22,New Caledonia,New Zealand,4,6,Friendly,Nouméa,New Caledonia,False
1951-09-24,New Caledonia,New Zealand,2,0,Friendly,Nouméa,New Caledonia,False
1951-09-30,New Caledonia,New Zealand,1,3,Friendly,Nouméa,New Caledonia,False
1951-10-04,New Zealand,Vanuatu,9,0,Friendly,Nouméa,New Caledonia,True
1951-10-07,Fiji,New Zealand,4,6,Friendly,Suva,Fiji,False
1952-09-07,Fiji,New Zealand,0,2,Friendly,Suva,Fiji,False
1952-09-14,Fiji,New Zealand,0,9,Friendly,Lautoka,Fiji,False
1952-09-16,Fiji,New Zealand,2,5,Friendly,Suva,Fiji,False
1952-09-21,Tahiti,New Zealand,2,2,Friendly,Papeete,Tahiti,False
1952-09-28,Tahiti,New Zealand,3,5,Friendly,Pirae,Tahiti,False
1954-08-14,Australia,New Zealand,1,2,Friendly,Melbourne,Australia,False
1954-08-28,Australia,New Zealand,4,1,Friendly,Brisbane,Australia,False
1954-09-04,Australia,New Zealand,4,1,Friendly,Sydney,Australia,False
1958-08-16,New Zealand,Australia,2,3,Friendly,Wellington,New Zealand,False
1958-08-23,New Zealand,Australia,2,2,Friendly,Auckland,New Zealand,False
1958-08-31,New Caledonia,New Zealand,1,2,Friendly,Nouméa,New Caledonia,False
1958-09-07,New Caledonia,New Zealand,1,5,Friendly,Nouméa,New Caledonia,False
1958-09-14,New Caledonia,New Zealand,1,2,Friendly,Nouméa,New Caledonia,False
1960-09-05,Tahiti,New Zealand,1,5,Friendly,Pirae,Tahiti,False
1960-09-12,Tahiti,New Zealand,1,2,Friendly,Pirae,Tahiti,False
1962-06-02,New Zealand,New Caledonia,4,1,Friendly,Christchurch,New Zealand,False
1962-06-04,New Zealand,New Caledonia,4,2,Friendly,Wellington,New Zealand,False
1967-11-05,Australia,New Zealand,5,3,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1967-11-08,New Caledonia,New Zealand,4,0,Friendly,Nouméa,New Caledonia,False
1967-11-08,New Zealand,Singapore,3,1,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1967-11-10,Vietnam Republic,New Zealand,5,1,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1967-11-16,Malaysia,New Zealand,2,8,Friendly,Kuala Lumpur,Malaysia,False
1968-09-17,New Zealand,Fiji,5,0,Friendly,Auckland,New Zealand,False
1968-10-08,New Zealand,New Caledonia,1,3,Friendly,Auckland,New Zealand,False
1969-07-25,New Caledonia,New Zealand,0,0,Friendly,Nouméa,New Caledonia,False
1969-07-27,New Caledonia,New Zealand,2,0,Friendly,Nouméa,New Caledonia,False
1969-07-29,New Caledonia,New Zealand,3,2,Friendly,Nouméa,New Caledonia,False
1969-09-16,Singapore,New Zealand,0,2,Friendly,Kallang,Singapore,False
1969-09-28,Israel,New Zealand,4,0,FIFA World Cup qualification,Ramat Gan,Israel,False
